null_best_deltaD_add,null_best_k2,null_reference_deltaD_add
0.9591001921264279,20.34,0.8041879582964384
6.276777946236685,18.46,4.399837490688881
2.515939297438166,20.98,0.043897845900914945
15.352035988574453,22.35,1.6321625906799326
1.7342403050471802,22.66,1.6684931774735183
3.974377339019945,23.28,1.066420197230542
4.688246170857646,18.0,1.526857927078428
7.131216011428911,20.78,5.058094974144581
3.2576913086478,22.39,0.29406583730314395
2.915715591217662,20.64,0.31147219657913894
2.955731277901478,18.0,0.3504901350137999
3.6202853562907222,22.75,1.404519978157822
6.792018975270555,22.89,0.6213323202466796
4.375553304342368,22.259999999999998,0.3262323629392725
1.5726624672904066,21.82,0.2617948325138215
11.13357084465278,18.0,0.0014666989064195946
10.463085470767858,20.81,3.082803094250579
9.138636842898904,23.15,2.247745920983583
0.8942892709915711,18.0,0.17896472646787487
4.1609532498513175,22.44,1.2207973454080303
5.080366785945138,18.0,1.556436317648604
2.1371004917821708,18.13,1.0080251827091402
3.9729878285954072,18.39,0.7122027695588535
7.698269785461523,20.8,1.7351905444000693
13.286700175570388,22.46,4.5899533427279735
4.717316068611645,18.71,1.47759990560413
4.368408561941223,23.75,2.5956360158396166
1.0636123873382815,23.77,0.16399313132070148
5.230131636247187,22.28,3.11471839341268
4.102352966692436,22.19,2.767242629692092
8.781199018720422,20.69,4.800798268501751
5.560343728393896,22.96,1.1683530410228613
3.1703032645323326,21.55,0.12509037880738205
1.186770070736241,21.62,0.9049920314081135
7.633442238825069,20.46,2.7769537429958575
8.853121898590931,21.48,1.4438094671959831
4.385632026358138,19.37,4.184099831052137
2.0857078322199385,21.240000000000002,0.25036792693706644
2.4083534035588343,20.08,1.8641320822462504
3.6324569753457148,18.38,2.052197633710236
2.645300384446415,22.05,2.3066689997132137
5.71053214966998,22.82,2.58235357542317
6.997676365483706,22.07,4.455058332848509
5.864589846298742,18.47,2.418004983397239
4.30528220794524,18.11,1.1365366453114945
4.952241200659692,19.89,4.4466621468018275
2.969676846257329,23.94,0.1343316030293309
3.940255777916711,19.28,3.702425106160682
8.315406142373838,20.07,6.630250812204423
3.599148815909725,20.4,2.206155868597804
2.345861571184642,24.0,0.34225728467606586
8.271460135252546,20.07,5.277806442798337
2.517814043936596,22.15,0.04832037715360116
2.0835013665394087,20.92,0.1425829491773669
2.8242715681058357,22.25,1.7412621234669103
5.794068172250384,22.23,2.224061193543463
6.547528281344405,22.490000000000002,3.8818759071035913
1.8194146844652614,21.64,0.0968536712457535
6.453998217374355,18.0,4.101963389267048
4.109718457381234,19.84,3.8147792543175214
6.991877652851734,20.990000000000002,0.5082974934006153
3.9715910894675233,20.32,1.2582636302152181
5.06276038278714,24.0,1.1965493095507327
6.3407010017838985,20.92,2.258362145477534
2.1326929362632683,24.0,1.0875150394569602
1.052877125885118,24.0,0.6299316738381648
3.8083521451653866,21.81,1.4132716969702983
6.272466810348874,18.59,3.069034345313696
2.932040983974403,22.0,2.7913163725470014
11.10962470895538,19.99,7.254531870272686
4.577260785997694,22.98,3.244357229918137
6.513583933089926,20.08,4.9963450934243525
3.309234145389496,18.0,0.24495424340780403
1.8191297873534253,18.0,0.7642424478614629
4.258957801244179,18.0,0.769779641415326
3.2539798937350355,21.26,1.394525387795973
3.2066367714371964,22.62,0.6888484210825467
3.6207630369126704,20.93,1.2643899241904109
3.975940182309884,18.38,0.5915852233926415
6.368546294781325,18.13,0.6692883466186998
8.141521266094443,22.75,5.193245713174235
4.799661516376897,23.48,0.7248985838948201
13.347529539505928,19.25,11.998007715853568
5.62050530845881,18.0,0.3073735893748264
3.764906185297235,20.36,1.7896002590049207
4.664820755408712,20.94,0.6949153240584138
1.3780992290756657,24.0,0.8396403214880408
4.997909292335542,18.0,4.543853926900212
3.6229431031197805,21.7,0.9487207460814062
8.429142210983493,22.2,2.1653384040526547
3.056358645218033,20.490000000000002,1.9838059256487384
5.431919109501635,19.14,4.750639326920194
4.770563301735585,21.43,1.063800680537291
5.323479130554134,20.39,1.5490142240052123
8.981403896654378,19.34,8.795236255893421
1.610033491521044,19.36,1.5394154079518927
5.29711755835072,18.0,0.05562341804957782
5.505327382985236,23.0,2.815457229061117
2.7664907539577293,22.46,1.7882705520955042
9.20754649423106,18.62,4.590028247836585
6.323570608901363,22.63,3.525069303909696
2.627777182213933,18.05,0.6527092281853015
3.3382395874987267,20.66,0.773434274194841
2.313475367864495,18.24,0.07851007111186448
6.128369168446923,20.09,4.444916613001489
7.584076303696442,19.23,7.318429851655814
1.358617070849899,24.0,0.09344830866994869
3.634329712461877,24.0,1.1864975810164466
3.1821357548851807,20.29,2.177733954792984
3.6356657381767263,21.92,0.5159407435813073
2.828781989177422,23.22,1.856705811655182
9.318641049019682,22.43,0.2272661611720963
10.356782335735872,19.4,10.147888108152294
2.8520476013589757,19.88,2.4869052081654885
5.897811495037814,24.0,1.4142246686866642
9.613214578965973,22.72,0.056820873311899334
8.128398128485216,18.0,4.182386444858501
4.324532632819778,22.69,0.4423833156615373
3.582867734550071,23.61,0.1422833868015374
1.9241186895973073,21.14,0.6065848198663559
3.7552941154734754,22.19,3.4017603443500946
4.8766654442750905,23.15,2.6908177814808454
