ell,q2_center,N_signal,N_Blow,N_Bhigh,N_side,alpha,R_subtracted,variance,z_residual
-1.7232261850263253,0.17848937826943526,6.0,20.0,13.0,33.0,0.28495897903372835,-3.4036463081130357,8.67965345115418,-1.1552958970455929
-1.7013635847256565,0.18243458935005805,8.0,17.0,11.0,28.0,0.28495897903372835,0.021148587055606072,10.273645352494455,0.006598102720535658
-1.679500984424988,0.18646700276519265,10.0,13.0,16.0,29.0,0.28495897903372835,1.7361896080218777,12.354846972226401,0.4939448561518046
-1.6576383841243192,0.19058854597752467,12.0,17.0,23.0,40.0,0.28495897903372835,0.6016408386508658,15.248064789277795,0.1540742078886591
-1.6357757838236504,0.19480118905309907,8.0,20.0,14.0,34.0,0.28495897903372835,-1.688605287146764,10.760855070886125,-0.5147599542495095
-1.6139131835229819,0.19910694560299666,9.0,22.0,22.0,44.0,0.28495897903372835,-3.5381950774840476,12.572871268205573,-0.9978483407426948
-1.592050583222313,0.20350787374582505,8.0,24.0,11.0,35.0,0.28495897903372835,-1.9735642661804924,10.842056690618069,-0.5993705998214734
-1.5701879829216445,0.2080060770914831,9.0,19.0,17.0,36.0,0.28495897903372835,-1.2585232452142208,11.923258310350015,-0.36447166024024463
-1.5483253826209757,0.21260370574667084,11.0,13.0,13.0,26.0,0.28495897903372835,3.591066545123063,13.111242113030567,0.9917484591870434
-1.526462782320307,0.21730295734262342,13.0,15.0,16.0,31.0,0.28495897903372835,4.166271649954421,15.517250211690289,1.0576456851101055
-1.5046001820196384,0.2221060780855624,12.0,25.0,18.0,43.0,0.28495897903372835,-0.25323609845031925,15.491669648473628,-0.0643393249809147
-1.4827375817189696,0.22701536383036508,13.0,20.0,16.0,36.0,0.28495897903372835,2.7414767547857792,15.923258310350015,0.6870187622039882
-1.460874981418301,0.23203316117796516,9.0,19.0,15.0,34.0,0.28495897903372835,-0.6886052871467641,11.760855070886125,-0.20079407974011437
-1.4390123811176323,0.23716186859701047,8.0,21.0,20.0,41.0,0.28495897903372835,-3.6833181403828625,11.329266409009739,-1.0943048832373345
-1.4171497808169635,0.24240393757031223,11.0,18.0,17.0,35.0,0.28495897903372835,1.0264357338195076,13.842056690618069,0.2758871362422584
