region,k,n_eff,deltaD,A2,phi2,bound_active,success
signal_Bplus_jpsiK_control,9.280000000000001,0.4703427450091493,1.5099938661132307e-10,4.545280016724984e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,9.3,0.47135641471822065,2.228055041382694e-10,1.1971160181739897e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,9.32,0.4723700844272921,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,9.34,0.4733837541363635,2.5515682870318213e-10,2.29821098725266e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,9.36,0.474397423845435,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,9.379999999999999,0.4754110935545064,1.1111398090843993e-10,2.5026763098379204e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,9.4,0.4764247632635779,3.252894443623026e-10,2.511426922750964e-10,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,9.42,0.47743843297264926,4.124169187241459e-10,4.7665834545091025e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,9.44,0.4784521026817207,3.7525754805170206e-10,2.2225177505821787e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,9.46,0.4794657723907922,1.1819795265492306e-10,1.7710903460482302e-07,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,9.48,0.48047944209986365,2.995022427104017e-10,2.236696909508941e-12,1.5707963267948966,False,True
signal_Bplus_jpsiK_control,9.5,0.48149311180893506,4.186009481961603e-10,1.6829433261697195e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,9.52,0.4825067815180065,1.755181583838052e-10,2.379115981920368e-07,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,9.54,0.4835204512270779,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,9.56,0.48453412093614945,2.1451632521369784e-10,3.34508297606466e-08,2.356194490192345,False,True
signal_Bplus_jpsiK_control,9.58,0.4855477906452208,3.5983159683557805e-10,7.923059618405825e-08,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,9.6,0.48656146035429226,1.07079083662987e-10,1.0780936350083767e-07,2.356194490192345,False,True
signal_Bplus_jpsiK_control,9.620000000000001,0.4875751300633638,1.9239792411603265e-10,2.512098014905457e-07,-3.141592653589793,False,True
signal_Bplus_jpsiK_control,9.64,0.4885887997724352,-4.488074300860224e-11,2.212014209480014e-07,2.356194490192345,False,True
signal_Bplus_jpsiK_control,9.66,0.48960246948150665,0.0,0.0,-0.0,False,True
signal_Bplus_jpsiK_control,9.68,0.49061613919057806,4.360099740833474e-10,4.162179529283551e-09,1.5707963267948966,False,True
