k2,deltaD_add_exact,D_base_exact,D_two_exact,C,a1,b1,A1,phi1,a2,b2,A2,phi2,success,message,n_iter,amplitude1_bound_active,amplitude2_bound_active
18.38,133.68544495884453,1255.9044965985288,1122.2190516396843,-0.02536472772015103,0.018217015910889797,0.08304183894684346,0.08501650830498216,-1.3548455496935632,0.09823230220010926,0.018719369766806014,0.1,-0.18830456263993606,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,False,True
18.39,133.36254666025093,1255.9044965985288,1122.5419499382779,-0.025225052706212087,0.018269523657182145,0.0829156931574743,0.08490457977308861,-1.3539231235002926,0.09798119480553104,0.019992135065584633,0.1,-0.20127765029712436,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,False,True
18.4,132.97706460838003,1255.9044965985288,1122.9274319901488,-0.025084163952472184,0.01832150818870001,0.08279404297694683,0.08479700003406442,-1.353015743017035,0.09771415976867187,0.02125895060209857,0.1,-0.21422428200862503,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,False,True
18.41,132.5289625571047,1255.9044965985288,1123.375534041424,-0.024942282601524847,0.01837225994248292,0.08267635541674764,0.08469309110187524,-1.3521304178764117,0.09743123035597202,0.02252010993138169,0.1,-0.22714943254423076,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,False,True
18.42,132.0182291653923,1255.9044965985288,1123.8862674331365,-0.024800271276893094,0.018421704674253622,0.08256247980588229,0.0845926845229665,-1.3512678125555908,0.09713228305442614,0.02377645029508906,0.1,-0.24006370285905104,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,True
18.43,131.4448780191633,1255.9044965985288,1124.4596185793655,-0.024656787947776395,0.01847111665191272,0.08245399204389052,0.08449759141148658,-1.3504174754942915,0.0968178889728327,0.02502591406610842,0.1,-0.25294790371733206,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,False,True
18.44,130.80894763765718,1255.9044965985288,1125.0955489608716,-0.024512904195189592,0.01852020052552467,0.08234915616305119,0.08440605042455332,-1.3495785092527721,0.0964878491397974,0.026269658703068462,0.1,-0.2658158867056916,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,False,True
18.45,130.11050155240264,1255.9044965985288,1125.7939950461262,-0.02436780188836864,0.018567754933094222,0.0822498743262397,0.08431964984472878,-1.348769922230943,0.09614223242179323,0.027507656115232537,0.1,-0.2786693347013085,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,True
18.46,129.34962839290665,1255.9044965985288,1126.5548682056221,-0.02422239862195067,0.018615648840820502,0.08215359291022876,0.08423630577028134,-1.3479636179908918,0.09578081274380457,0.028740840456330515,0.1,-0.2915199787645344,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,False,True
18.47,128.5264419409882,1255.9044965985288,1127.3780546575406,-0.024076525240373164,0.018663403113860572,0.08206264994492037,0.08415819111514339,-1.3471714033952176,0.09540390620442307,0.029968227857810455,0.1,-0.30435960890157915,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,False,True
