q2_lo,q2_hi,q2_center,ell,n,moment_cosThetaL,moment_cosThetaL_sem,moment_cosThetaK,moment_cosThetaK_sem,moment_cosPhi,moment_cosPhi_sem,moment_sinPhi,moment_sinPhi_sem,moment_cos2Phi,moment_cos2Phi_sem,moment_sin2Phi,moment_sin2Phi_sem,moment_m5_proxy,moment_m5_proxy_sem,moment_cosThetaL2,moment_cosThetaL2_sem,moment_cosThetaK2,moment_cosThetaK2_sem
9.94375,10.337499999999999,10.140625,2.316549633344418,424,0.006597060442108985,0.03171973889764637,-0.0725457482862282,0.026729377933734137,0.0736233257040982,0.03393816442652808,-0.039314764633072846,0.034580326750638275,-0.01473725389735695,0.03362151557832895,0.005640438443817726,0.0351151139647096,-0.009598951926155603,0.018113639928745644,0.4256415177223227,0.01726727597673591,0.3074793153128272,0.01430227627285536
10.337499999999999,10.73125,10.534374999999999,2.3546437194402885,608,0.0926442687298608,0.025658371475634434,-0.042478753192854345,0.022124227355794193,0.006345552053750286,0.02903220189051838,-0.033590570147426196,0.02833112277889053,0.023323190448481877,0.02847349125487654,-0.015522196664163972,0.02890352326059015,-0.03683528188446351,0.0159246019169414,0.4082026407849526,0.014058677284895172,0.29891967617997883,0.01122553684588094
10.73125,11.125,10.928125,2.3913397412696034,580,0.14226863186217673,0.026092399188731703,-0.08719385374080017,0.02247368715820305,-0.023567494153139752,0.029397526120504364,0.044420171337206486,0.029300751308586902,0.0018712932039592946,0.029572520015454903,-0.038092147937862905,0.02915595417079472,-0.019835285772071234,0.01563588414340616,0.41443126166250494,0.01484675979005109,0.3000363379168602,0.0118927672545225
11.125,11.518749999999999,11.321874999999999,2.426736695101305,571,0.09275462220111236,0.02707081460799058,-0.10213647150685481,0.023121039417685445,0.024731077767902655,0.030864174952675197,0.022640837074861603,0.028281024195722752,0.08718416929577545,0.03024066446332715,-0.03873137968823313,0.028704026924440563,-0.03667017981369961,0.01703762279268763,0.42631595195758304,0.014681643981260388,0.31514386315174414,0.01221947827211261
11.518749999999999,11.9125,11.715625,2.4609234209421396,525,0.046522797483588445,0.02786336580733688,-0.08999285702963242,0.023824466704817016,0.023368614702598416,0.03075178537134918,0.04151237863532911,0.030957935731733163,-0.007843241599012373,0.030793676500353206,0.031138030720506544,0.030954461692429117,-0.0437534384213638,0.017283294661298052,0.4089807594411571,0.015027909443206639,0.3055238463312775,0.0119451256982296
11.9125,12.306249999999999,12.109375,2.4939799459936753,525,0.020316378156301423,0.027227528162201458,-0.12324577128737252,0.022695718437068975,0.014174504192417461,0.031473849713116356,0.013802452338762716,0.0302827795609831,0.03855400325870014,0.03143105396243139,-0.03531082378296088,0.030253423574020163,-0.01873310275289855,0.017270784960317316,0.3888740190888899,0.014582615864915646,0.2850996330765687,0.012072806043876385
12.306249999999999,12.7,12.503124999999999,2.5259786130634625,567,0.041223508765284154,0.025855032980303387,-0.06316966136312784,0.021953499272833455,-0.010729163666880823,0.030851239299983176,-0.014169575781221803,0.02853817396360022,0.07766665980832496,0.02942167977678227,0.06238787628245307,0.029725662507211908,-0.019036315916162883,0.017536769926800023,0.3800606030884394,0.013903852299139912,0.2767775758791534,0.011237881113542441
12.7,13.09375,12.896875,2.5569850339588096,231,0.0195946498030674,0.04033271412121301,-0.1399993495265242,0.03647899244717176,0.04982944533124429,0.04452750194794707,0.07941160226684885,0.04823809539857086,-0.08299277508272301,0.04451404650213258,0.0541434817371817,0.04820407728519035,-0.007924911642486942,0.02585912855599227,0.37453135082910866,0.02246237319242241,0.32566470255883717,0.019518495301268184
13.88125,14.274999999999999,14.078125,2.644622174248666,116,-0.02741324718988393,0.053070218843096484,-0.05736429069641475,0.04784539783967907,0.003095327228079146,0.06533823771322514,-0.04245733878650439,0.06641391832737674,-0.0180912171806215,0.0656370394594346,0.00952975510324068,0.06621023712346104,-0.00032728009136628655,0.03776343847064656,0.32464302084772106,0.028621883915960485,0.26654660270737696,0.024566272421059406
14.274999999999999,14.66875,14.471874999999999,2.67220711068698,476,0.06768608744089052,0.027669816231775092,-0.08906535087799244,0.023941148928846266,-0.014562977560625799,0.03216173167884935,-0.05757047547631592,0.03261076646112305,-0.016917704015950774,0.03343843303390279,0.0009599651117439764,0.03140907304285725,-0.03940174553381156,0.01798328763577594,0.368250303325653,0.014916758752500207,0.2801924774427882,0.012720106760289417
14.66875,15.0625,14.865625,2.699051500638509,445,0.09286445659592804,0.028541937846404655,-0.09455231443684664,0.025127147935393335,0.06991483847847314,0.03333049875178359,-0.02599620343198411,0.033597601516466485,-0.0037249641471871174,0.03304489953256499,0.01464398326601668,0.034055434651294014,-0.024146997732904137,0.018821614591114123,0.37032495121530085,0.014928370665347244,0.2892700023003752,0.013094505997642567
15.0625,15.456249999999999,15.259374999999999,2.725194068267888,393,0.057908522876418345,0.030925462513502637,-0.019099459336055644,0.02551255777666862,-0.01696662358789814,0.036773906726749184,-0.013014160475149762,0.03460540098298311,0.060794781934903806,0.03612155009906211,0.027315866430825148,0.035141456721497134,-0.008811408518374609,0.02086461462327869,0.3782560158379591,0.015882292141271143,0.25551390623560866,0.012904433639241118
15.456249999999999,15.85,15.653125,2.7506705775638447,386,0.049152494820420875,0.031142360696881834,-0.05022796895402262,0.02750070208822276,-0.07861404676847769,0.03569432014420979,0.050185147798256474,0.03606555192498016,-0.006594605572214789,0.03519559498111578,-0.04682587881561081,0.036781306460830054,0.019825742911535816,0.020813548381935453,0.37580692021032724,0.015998571323850446,0.29369396577314044,0.014051814658247742
15.85,16.243750000000002,16.046875,2.7755141265688863,343,0.0745065760545131,0.032391866326758896,-0.030795807560768863,0.027918459794368064,0.075740740416635,0.03859913547716012,0.024838280913264957,0.037623205218976385,0.030560309073286464,0.03668463128481477,-0.004462238902140733,0.03969162906641033,-0.04414189499285541,0.02233667068674834,0.3643889172880379,0.017243576581833633,0.2675169976364132,0.014740620420707581
16.243750000000002,16.6375,16.440625,2.799755405937035,296,0.07610634424054008,0.03549483052623416,-0.082230971526814,0.03087273276490516,0.011245713356918699,0.04007575771602363,0.056852814615716854,0.0420996282535181,-0.05216791751926599,0.041619566306248294,0.07499136071537209,0.040365250025628865,-0.030869548236848062,0.023652309162783897,0.3774576588890544,0.01856975333112002,0.287933993048352,0.015572943896367044
16.6375,17.03125,16.834375,2.8234229268867614,280,0.039985976620106264,0.036785777282793114,-0.06475024208196013,0.03179766329672178,0.10647491863556184,0.04235392198142316,-0.0038746433964806037,0.04182925763159703,0.023644743219230734,0.04227265376699583,-0.04558835247402254,0.04228237444596608,-0.008499551302787161,0.024913804489718465,0.3791398397997568,0.018965882464132736,0.2862870919754133,0.01627282663114363
17.03125,17.425,17.228125,2.846543222795911,247,0.024742454562073215,0.038417885553218005,-0.11253375032063428,0.03293641136194078,0.05838182220865165,0.04583884405333656,-0.0347030323614635,0.04410317517285502,0.040607089408690865,0.04495141561045949,0.07608234574452288,0.0448795868037095,-0.05657899655743177,0.02712261098419588,0.36369193593127486,0.01944532935554983,0.27952641453836036,0.01752225984763285
17.425,17.81875,17.621875000000003,2.86914102801341,188,-0.01809500759262999,0.04285239075772367,-0.13952793476790223,0.04011706117523167,0.0494698894824991,0.05058402507766986,0.00883105252031068,0.05268155217220799,-0.03813535626536209,0.05371208251717952,0.03801449533236738,0.04946818091395541,-0.037077782454872546,0.030191010605547963,0.3437206519128213,0.022546171538608023,0.3204218422826673,0.02026319573098028
17.81875,18.212500000000002,18.015625,2.891239436909387,165,0.0751237738611772,0.046370162332976514,-0.07083118365648677,0.043732479386698046,0.034301879087231216,0.05213526203193256,-0.036805417164780876,0.0580003528494174,-0.10611470272081745,0.0552796981385272,0.03973476545609068,0.05443737921605179,-0.01585661353063157,0.028998051234309093,0.35827506198414666,0.02491061153482163,0.318671936120686,0.02409793583569417
18.212500000000002,18.60625,18.409375,2.912860045727915,106,-0.03406565450266084,0.060254779111437166,-0.06847147887665234,0.053660783511725284,0.014644053728421712,0.0689378087290383,-0.01170720607809616,0.06905099829755161,-0.0015625941848898383,0.0650022081717798,-0.07072548179101905,0.07246281952823509,-0.05958351705834287,0.038630457304969855,0.38237750142234356,0.030790928925605743,0.3070337105642419,0.028897505287967515
18.60625,19.0,18.803125,2.93402307942658,62,0.03682365277733439,0.07712231570944401,-0.11849141896266759,0.06633204978161998,0.14061815079477105,0.0925502873606639,0.031487192510917604,0.0865302179049921,0.0845447229119402,0.08916080828848828,0.027867060197347714,0.09118050760286203,0.059893994652032906,0.04975622644656506,0.36417492780748223,0.04059960852517765,0.28243660688989636,0.038809070691817105
