"KDE_BANDWIDTH_SCALE","n","k2","D_base","A1_base","base_success","D_two","deltaD","C","A1","phi1","A2","phi2","success","A1_bound_active","A2_bound_active","delta_k_from_reference","abs_delta_k_from_reference","p_vs_integer_scanmax_null","z_vs_integer_scanmax_null","p_vs_fixed_n_null","z_vs_fixed_n_null","null_best_p95","null_best_p99","null_best_mean","log_period","rho_q2","winding_check"
0.5,20,26.2886514675504,348.496963152768,0.027885706117807,"True",307.668122508619,40.8288406441495,-0.0163268594887638,0.0396034072874855,-2.39923517258004,0.0729480515126625,-2.02675691528408,"True","False","False",6.75905146755044,6.75905146755044,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.0242728340121,14.0327731529184,5.93941820444121,0.239007516796184,1.26998808278953,20
0.5,21,27.603084040928,348.496963152768,0.027885706117807,"True",327.234240600691,21.2627225520775,-0.00757042794317382,0.0226778559676323,-2.57192185809027,0.0509487540855612,0.080737065231462,"True","False","False",8.07348404092797,8.07348404092797,0.000999800039992002,3.09029169821078,0.0001999600079984,3.54013657500842,11.0242728340121,14.0327731529184,5.93941820444121,0.227626206472556,1.25561589660797,21
0.5,22,28.9175166143055,348.496963152768,0.027885706117807,"True",339.547313529154,8.94964962361439,-0.00974841346754649,0.0300814130655623,-2.35016806753697,0.0349526125619982,2.92246505701925,"True","False","False",9.38791661430548,9.38791661430548,0.122575484903019,1.16220803952541,0.00919816036792642,2.35754307791114,11.0242728340121,14.0327731529184,5.93941820444121,0.217279560723804,1.2426914613059,22
0.75,10,13.1443257337752,581.265005107917,0.0433574474623255,"True",483.792351371845,97.4726537360715,-0.0165798998344805,0.0673333364334087,-1.78926594579161,0.1,-1.46621725613482,"True","False","True",-6.38527426622478,6.38527426622478,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.1112521294947,14.5680607675435,6.02496955931451,0.478015033592368,1.61286973042743,10
0.75,11,14.4587583071527,581.265005107917,0.0433574474623255,"True",513.360803911998,67.9042011959189,-0.0248242660228028,0.0764685419539232,-1.76625334735803,0.0962322428815611,1.41959475179176,"True","False","False",-5.07084169284726,5.07084169284726,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.1112521294947,14.5680607675435,6.02496955931451,0.434559121447607,1.54428206800259,11
0.75,12,15.7731908805303,581.265005107917,0.0433574474623255,"True",580.242230678933,1.02277442898401,-0.00994218534612673,0.04394070729155,-1.81640136471534,0.012165791132898,-2.70876179579678,"True","False","False",-3.75640911946974,3.75640911946974,0.999400119976005,-3.2389371576013,0.606078784243151,-0.269113383726866,11.1112521294947,14.5680607675435,6.02496955931451,0.398345861326973,1.48935905253719,12
0.75,13,17.0876234539078,581.265005107917,0.0433574474623255,"True",553.141002269976,28.1240028379411,-0.0194632352762948,0.0314075806874957,-1.70794422311074,0.0643486617254903,-2.84774743866117,"True","False","False",-2.44197654609221,2.44197654609221,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.1112521294947,14.5680607675435,6.02496955931451,0.367703871994129,1.44441424412622,13
0.75,14,18.4020560272853,581.265005107917,0.0433574474623255,"True",502.735010064787,78.5299950431301,-0.0162766794688113,0.0373818781334648,-1.73703062388141,0.1,-0.0403336615016098,"True","False","True",-1.12754397271469,1.12754397271469,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.1112521294947,14.5680607675435,6.02496955931451,0.341439309708834,1.40697120122298,14
0.75,15,19.7164886006628,581.265005107917,0.0433574474623255,"True",543.559507366724,37.7054977411924,-0.020928484895089,0.0426029085076821,-2.28555594282011,0.0749819981585497,2.39637035072812,"True","False","False",0.186888600662829,0.186888600662829,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.1112521294947,14.5680607675435,6.02496955931451,0.318676689061579,1.37530660135002,15
0.75,16,21.0309211740404,581.265005107917,0.0433574474623255,"True",573.633489627888,7.63151548002929,-0.010514007678468,0.0408113935315622,-1.90920624544924,0.0307278101766714,-0.633215879827795,"True","False","False",1.50132117404035,1.50132117404035,0.230753849230154,0.736366479651017,0.0235952809438112,1.98458590421295,11.1112521294947,14.5680607675435,6.02496955931451,0.29875939599523,1.34818520568671,16
0.75,17,22.3453537474179,581.265005107917,0.0433574474623255,"True",571.62009981901,9.64490528890678,-0.00873493318592629,0.0499023194263594,-1.50383708418548,0.0363468653216048,-1.50198844491872,"True","False","False",2.81575374741788,2.81575374741788,0.0941811637672466,1.31543923245899,0.0107978404319136,2.29740492894369,11.1112521294947,14.5680607675435,6.02496955931451,0.281185313877863,1.32469906631174,17
0.75,18,23.6597863207954,581.265005107917,0.0433574474623255,"True",557.552879752855,23.7121253550621,-0.00730692837236561,0.0435222099094381,-1.98271933580427,0.059669360086404,-0.480986089236593,"True","False","False",4.1301863207954,4.1301863207954,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.1112521294947,14.5680607675435,6.02496955931451,0.265563907551315,1.30416619762732,18
0.75,19,24.9742188941729,581.265005107917,0.0433574474623255,"True",540.8413747449,40.4236303630172,-0.0217714846760503,0.038064264612391,-2.10295225316628,0.0757909157930898,1.837037835654,"True","False","False",5.44461889417292,5.44461889417292,0.0001999600079984,3.54013657500842,0.0001999600079984,3.54013657500842,11.1112521294947,14.5680607675435,6.02496955931451,0.251586859785457,1.28606460250806,19
