"KDE_BANDWIDTH_SCALE","label","Q","n_minus","n0","n_plus","k_minus","k0","k_plus","deltaD","p_vs_model_scanmax_null","p_vs_fixed_model_null","A_minus","A0","A_plus","any_A_bound_active","success","radial_max","radial_above_0p1","mode"
0.5,"dense_Q_0.655000",0.655,9.825,15,19.65,12.9143000334342,19.7164886006628,25.8286000668683,179.999326070017,0.0001999600079984,0.0001999600079984,0.0826557943713035,0.11086600762055,0.0738869657550126,"False","True",0.11086600762055,TRUE,"parity"
0.5,"low_bw_empirical",0.65,9.75,15,19.5,12.8157175904308,19.7164886006628,25.6314351808617,180.513089650645,0.0001999600079984,0.0001999600079984,0.0808147806241603,0.109654143064878,0.0764154342948479,"False","True",0.109654143064878,TRUE,"parity"
0.5,"dense_Q_0.645000",0.645,9.675,15,19.35,12.7171351474275,19.7164886006628,25.4342702948551,179.627920819748,0.0001999600079984,0.0001999600079984,0.0790905307573562,0.10809472374259,0.0777347850114015,"False","True",0.10809472374259,TRUE,"parity"
0.5,"dense_Q_0.640000",0.64,9.6,15,19.2,12.6185527044242,19.7164886006628,25.2371054088484,176.613491614865,0.0001999600079984,0.0001999600079984,0.0777141836829214,0.106845449178713,0.0770165412198932,"False","True",0.106845449178713,TRUE,"parity"
0.5,"dense_Q_0.635000",0.635,9.525,15,19.05,12.5199702614209,19.7164886006628,25.0399405228418,171.734132534562,0.0001999600079984,0.0001999600079984,0.0768032934410086,0.106397803064417,0.0742855458585806,"False","True",0.106397803064417,TRUE,"parity"
0.5,"quark_like",0.63026,9.4539,15,18.9078,12.4265141054538,19.7164886006628,24.8530282109075,166.440636294203,0.0001999600079984,0.0001999600079984,0.0763870853606925,0.106779356505747,0.070539976983127,"False","True",0.106779356505747,TRUE,"parity"
0.5,"dense_Q_0.630000",0.63,9.45,15,18.9,12.4213878184176,19.7164886006628,24.8427756368352,166.158477054494,0.0001999600079984,0.0001999600079984,0.0763747799268076,0.106818451599942,0.0703245008619275,"False","True",0.106818451599942,TRUE,"parity"
0.5,"dense_Q_0.625000",0.625,9.375,15,18.75,12.3228053754143,19.7164886006628,24.6456107508285,161.428409248329,0.0001999600079984,0.0001999600079984,0.0763426857921028,0.107743625141205,0.0665261940559685,"False","True",0.107743625141205,TRUE,"parity"
0.5,"dense_Q_0.620000",0.62,9.3,15,18.6,12.224222932411,19.7164886006628,24.4484458648219,158.672812705675,0.0001999600079984,0.0001999600079984,0.0764758434514938,0.108598758637331,0.0643486913462447,"False","True",0.108598758637331,TRUE,"parity"
0.5,"dense_Q_0.615000",0.615,9.225,15,18.45,12.1256404894076,19.7164886006628,24.2512809788153,158.040950765285,0.0001999600079984,0.0001999600079984,0.0765772538835801,0.109065422517418,0.0642145687892753,"False","True",0.109065422517418,TRUE,"parity"
0.5,"dense_Q_0.610000",0.61,9.15,15,18.3,12.0270580464043,19.7164886006628,24.0541160928087,158.93112570588,0.0001999600079984,0.0001999600079984,0.0766015655848677,0.109252003537334,0.065537916366298,"False","True",0.109252003537334,TRUE,"parity"
0.5,"dense_Q_0.605000",0.605,9.075,15,18.15,11.928475603401,19.7164886006628,23.856951206802,160.566217305251,0.0001999600079984,0.0001999600079984,0.076606125166397,0.109478974109814,0.0675039330508063,"False","True",0.109478974109814,TRUE,"parity"
0.5,"dense_Q_0.600000",0.6,9,15,18,11.8298931603977,19.7164886006628,23.6597863207954,162.175079200337,0.0001999600079984,0.0001999600079984,0.0765882506750423,0.109890567226469,0.0693826248372879,"False","True",0.109890567226469,TRUE,"parity"
0.5,"dense_Q_0.595000",0.595,8.925,15,17.85,11.7313107173944,19.7164886006628,23.4626214347888,163.028831511105,0.0001999600079984,0.0001999600079984,0.0763907512606147,0.110332490068141,0.0705261942927277,"False","True",0.110332490068141,TRUE,"parity"
0.5,"dense_Q_0.590000",0.59,8.85,15,17.7,11.6327282743911,19.7164886006628,23.2654565487821,162.669923719226,0.0001999600079984,0.0001999600079984,0.0758305665684098,0.11052533423061,0.0706878830940285,"False","True",0.11052533423061,TRUE,"parity"
0.5,"dense_Q_0.585000",0.585,8.775,15,17.55,11.5341458313878,19.7164886006628,23.0682916627755,160.914036976419,0.0001999600079984,0.0001999600079984,0.074932329272072,0.110307613649838,0.0698479351408099,"False","True",0.110307613649838,TRUE,"parity"
0.5,"dense_Q_0.580000",0.58,8.7,15,17.4,11.4355633883844,19.7164886006628,22.8711267767689,157.739344502455,0.0001999600079984,0.0001999600079984,0.0739163234553277,0.109827559751185,0.0678727335162426,"False","True",0.109827559751185,TRUE,"parity"
0.5,"dense_Q_0.575000",0.575,8.625,15,17.25,11.3369809453811,19.7164886006628,22.6739618907623,153.509195915459,0.0001999600079984,0.0001999600079984,0.0730041528060039,0.109422105945078,0.0648638380635075,"False","True",0.109422105945078,TRUE,"parity"
0.5,"dense_Q_0.570000",0.57,8.55,15,17.1,11.2383985023778,19.7164886006628,22.4767970047556,149.18797825545,0.0001999600079984,0.0001999600079984,0.0722555048796319,0.109336212067169,0.0616014937438383,"False","True",0.109336212067169,TRUE,"parity"
