"k","n_eff","delta_chi2","amp","phase"
11.96,9.09898327402826,466.933859056233,2.57633096168766,-1.58288075180647
11.98,9.11419896512196,457.175985556914,2.54539957813545,-1.64066643879003
12,9.12941465621565,448.388985233803,2.51750762343884,-1.7003577160751
12.02,9.14463034730934,440.706718159963,2.49322633826526,-1.76185035185604
12.04,9.15984603840303,434.252802063453,2.47309165402485,-1.82499064159501
12.06,9.17506172949673,429.139012949079,2.45758695655721,-1.88957520425366
12.08,9.19027742059042,425.463836144037,2.44712591020828,-1.95535392354299
12.1,9.20549311168411,423.311195795472,2.44203655912143,-2.02203632478889
12.12,9.22070880277781,422.749388392596,2.44254801182921,-2.08930126401512
12.14,9.2359244938715,423.83024268696,2.44878092543999,-2.15680933296587
12.16,9.25114018496519,426.588524444844,2.46074272220715,-2.22421695148144
12.18,9.26635587605888,431.041599826789,2.47832802562645,-2.29119083226315
12.2,9.28157156715258,437.18936592996,2.50132427039159,-2.35742143822531
12.22,9.29678725824627,445.014451271796,2.5294219198214,-2.42263422700149
12.24,9.31200294933996,454.48268289959,2.56222831062707,-2.48659784363926
12.26,9.32721864043365,465.543810574709,2.59928390190989,-2.54912888722388
12.28,9.34243433152735,478.132472322741,2.64007965161659,-2.61009333325929
12.3,9.35765002262104,492.169379793711,2.68407435488714,-2.66940505475873
12.32,9.37286571371473,507.562696571546,2.73071100233001,-2.72702210530362
12.34,9.38808140480842,524.209578024267,2.77943149125251,-2.78294150349615
12.36,9.40329709590212,541.997837682276,2.82968929608429,-2.8371932179388
12.38,9.41851278699581,560.807702615137,2.88095993935575,-2.88983393705488
12.4,9.4337284780895,580.513618939978,2.932749283831,-2.94094106028425
12.42,9.4489441691832,600.986068473205,2.98459978707498,-2.99060719878132
12.44,9.46415986027689,622.093358608992,3.03609492890058,-3.03893534486638
12.46,9.47937555137058,643.703349695708,3.08686205135293,-3.08603476926355
12.48,9.49459124246427,665.685087358903,3.13657385239306,-3.13201763474958
12.5,9.50980693355797,687.910311221767,3.18494875894673,3.10618903646601
12.52,9.52502262465166,710.254816109507,3.23175038072845,3.06210427742772
12.54,9.54023831574535,732.599646886152,3.27678621895349,3.01880666816554
12.56,9.55545400683905,754.832113353641,3.31990577728745,2.97619434668222
12.58,9.57066969793274,776.846616945433,3.36099819812279,2.93417122531897
12.6,9.58588538902643,798.545286091343,3.3999895263881,2.8926476374878
12.62,9.60110108012012,819.838421964745,3.43683968579079,2.85154077862154
12.64,9.61631677121382,840.644760725558,3.47153923849614,2.81077498681589
12.66,9.63153246230751,860.891562253029,3.50410598841153,2.77028189834424
12.68,9.6467481534012,880.514538663418,3.5345814800771,2.73000050418916
12.7,9.66196384449489,899.457638599808,3.56302743926319,2.6898771260928
12.72,9.67717953558859,917.672705360681,3.58952219736872,2.64986532439084
12.74,9.69239522668228,935.119028415651,3.61415713924647,2.6099257450063
12.76,9.70761091777597,951.762808771997,3.63703321280924,2.57002590935504
12.78,9.72282660886967,967.576559044024,3.65825753834775,2.53013994845703
12.8,9.73804229996336,982.538458985207,3.67794015556149,2.49024828115273
12.82,9.75325799105705,996.631686717952,3.69619094649992,2.45033723588454
12.84,9.76847368215074,1009.84374498553,3.7131167725636,2.41039861589766
12.86,9.78368937324444,1022.16580050064,3.72881886306351,2.37042920880857
12.88,9.79890506433813,1033.59205291888,3.7433904912609,2.33043024312705
12.9,9.81412075543182,1044.11914816457,3.75691497104579,2.29040679632544
12.92,9.82933644652551,1053.74564882068,3.76946400328789,2.25036716123813
12.94,9.84455213761921,1062.47157210594,3.78109639534465,2.21032217974797
12.96,9.8597678287129,1070.29800364007,3.79185717029922,2.1702845546841
12.98,9.87498351980659,1077.22679278817,3.80177707441716,2.13026815244427
13,9.89019921090029,1083.26033292295,3.81087248236177,2.09028730992515
13.02,9.90541490199398,1088.40142749718,3.81914569030067,2.05035615980033
13.04,9.92063059308767,1092.6532404312,3.82658557763674,2.01048798798797
13.06,9.93584628418136,1096.01932704034,3.83316860919378,1.97069463631085
13.08,9.95106197527506,1098.50373960743,3.83886014174652,1.93098596194121
13.1,9.96627766636875,1100.11119979238,3.84361599220599,1.8913693633511
13.12,9.98149335746244,1100.84732840534,3.84738421985504,1.85184938030369
13.14,9.99670904855614,1100.71892168891,3.85010707195279,1.81242737307889
13.16,10.0119247396498,1099.73426218105,3.85172304083216,1.77310128379168
13.18,10.0271404307435,1097.90345148135,3.85216898121417,1.73386548047693
13.2,10.0423561218372,1095.23875182297,3.85138223865049,1.6947106827017
13.22,10.0575718129309,1091.75492325508,3.84930274348418,1.65562396590809
13.24,10.0727875040246,1087.46954345203,3.84587502912973,1.61658884053704
13.26,10.0880031951183,1082.4032976622,3.84105013843,1.57758540124246
13.28,10.103218886212,1076.58022706513,3.83478738696656,1.53859054115485
13.3,10.1184345773057,1070.02792478679,3.82705595713271,1.49957822613863
13.32,10.1336502683994,1062.77767000047,3.81783630123202,1.46051982423331
13.34,10.1488659594931,1054.8644918824,3.80712133562503,1.42138448588432
13.36,10.1640816505868,1046.32715667101,3.79491741088254,1.38213957105328
13.38,10.1792973416804,1037.20807267315,3.7812450449821,1.34275111974534
13.4,10.1945130327741,1027.55310975285,3.76613940786401,1.30318436279741
13.42,10.2097287238678,1017.4113316131,3.74965054629518,1.26340426983667
13.44,10.2249444149615,1006.83464103024,3.73184333820809,1.22337613105129
13.46,10.2401601060552,995.877340113653,3.71279716579412,1.18306616873779
13.48,10.2553757971489,984.595609631331,3.69260529699721,1.14244217344385
13.5,10.2705914882426,973.046913451635,3.67137396607514,1.10147415787961
13.52,10.2858071793363,961.289336183087,3.64922114598057,1.06013501963055
