"k1","k2","k3","n1","n2","n3","delta1","delta2","delta3","Q_low","Q_high","Q_mean","koide_error","integer_error_10_15_20","score"
15.56,26,30,11.837807670893,19.7803984218006,22.8235366405391,196.662549298828,149.639090673289,137.318733452325,0.598461538461538,0.576923076923077,0.587692307692308,0.112720235155644,5.84825660063008,30.5311842938808
7.74,11.62,18.12,5.88847245325909,8.84031652543549,13.7854161308856,1044.78379036054,150.057560867757,138.35288068408,0.666092943201377,0.779690189328744,0.72289156626506,0.113024978803624,9.66785456762197,71.1881145017636
16.86,26,28.7,12.826827591983,19.7803984218006,21.8345167194491,203.269238779765,149.639090673289,149.626714267259,0.648461538461538,0.551923076923077,0.600192307692308,0.116178819413051,5.84881311890609,31.2133154675661
11.62,15.56,18.12,8.84031652543549,11.837807670893,13.7854161308856,150.057560867757,196.662549298828,138.35288068408,0.746786632390746,0.582262210796915,0.66452442159383,0.116375775306961,7.06861929613542,28.4840298326233
18.12,27.32,30,13.7854161308856,20.7846340339843,22.8235366405391,138.35288068408,129.218295473951,137.318733452325,0.663250366032211,0.54904831625183,0.60614934114202,0.117667954279541,7.46751132249329,23.2351762681024
18.12,26,28.7,13.7854161308856,19.7803984218006,21.8345167194491,138.35288068408,149.639090673289,149.626714267259,0.696923076923077,0.551923076923077,0.624423076923077,0.118665672158588,6.36765545150339,26.242949419111
9.5,14.26,15.56,7.22745326950406,10.8487877498029,11.837807670893,105.643409011194,260.079381454208,196.662549298828,0.666199158485274,0.545582047685835,0.605890603085554,0.121085521502915,9.56770412044101,29.2039116520412
16.86,27.32,30,12.826827591983,20.7846340339843,22.8235366405391,203.269238779765,129.218295473951,137.318733452325,0.617130307467057,0.54904831625183,0.583089311859444,0.127624164001415,7.03031324354702,26.3277213805334
7.74,14.26,18.12,5.88847245325909,10.8487877498029,13.7854161308856,1044.78379036054,260.079381454208,138.35288068408,0.542776998597476,0.635343618513324,0.5890603085554,0.127788040128609,8.5298461052971,76.0328212296805
11.62,18.12,28.7,8.84031652543549,13.7854161308856,21.8345167194491,150.057560867757,138.35288068408,149.626714267259,0.641280353200883,0.791942604856512,0.716611479028697,0.127822242198801,2.4870728437722,30.3098519454465
14.26,18.12,26,10.8487877498029,13.7854161308856,19.7803984218006,260.079381454208,138.35288068408,149.639090673289,0.786975717439294,0.717439293598234,0.752207505518764,0.130583794336597,1.49795843482923,39.3807123435545
11.62,16.86,18.12,8.84031652543549,12.826827591983,13.7854161308856,150.057560867757,203.269238779765,138.35288068408,0.68920521945433,0.537366548042705,0.613285883748517,0.131249788715765,6.68495300973769,27.533590199949
15.56,26,28.7,11.837807670893,19.7803984218006,21.8345167194491,196.662549298828,149.639090673289,149.626714267259,0.598461538461538,0.551923076923077,0.575192307692308,0.133484197194736,5.44014684547069,29.0162087978664
9.5,12.94,14.26,7.22745326950406,9.84455213761921,10.8487877498029,105.643409011194,330.362923812463,260.079381454208,0.734157650695518,0.551004636785162,0.64258114374034,0.133913173666718,10.863256587353,32.8482845720494
12.94,18.12,28.7,9.84455213761921,13.7854161308856,21.8345167194491,330.362923812463,138.35288068408,149.626714267259,0.714128035320088,0.791942604856512,0.7530353200883,0.13396507829954,2.20563587361329,42.0595167627013
7.74,12.94,14.26,5.88847245325909,9.84455213761921,10.8487877498029,1044.78379036054,330.362923812463,260.079381454208,0.598145285935085,0.551004636785162,0.574574961360124,0.13443542975597,11.2795384248423,75.9076448114977
9.5,15.56,16.86,7.22745326950406,11.837807670893,12.826827591983,105.643409011194,196.662549298828,203.269238779765,0.610539845758355,0.541773778920308,0.576156812339332,0.136924992002549,8.3150994037464,25.9193581479942
18.12,27.32,28.7,13.7854161308856,20.7846340339843,21.8345167194491,138.35288068408,129.218295473951,149.626714267259,0.663250366032211,0.525256222547584,0.594253294289897,0.141451704888916,7.15239944249738,21.9888256227401
16.86,26,27.32,12.826827591983,19.7803984218006,20.7846340339843,203.269238779765,149.639090673289,129.218295473951,0.648461538461538,0.525384615384615,0.586923076923077,0.142450148148148,5.60881572822964,26.9489421727328
18.12,26,27.32,13.7854161308856,19.7803984218006,20.7846340339843,138.35288068408,149.639090673289,129.218295473951,0.696923076923077,0.525384615384615,0.611153846153846,0.144485529988537,6.14794558551139,22.6162416519194
7.74,14.26,16.86,5.88847245325909,10.8487877498029,12.826827591983,1044.78379036054,260.079381454208,203.269238779765,0.542776998597476,0.591164095371669,0.566970546984572,0.145083727986465,9.25157415302564,72.4368536304027
12.94,16.86,26,9.84455213761921,12.826827591983,19.7803984218006,330.362923812463,203.269238779765,149.639090673289,0.767497034400949,0.771055753262159,0.769276393831554,0.145133884595128,2.18976418959506,44.0043288637306
11.62,16.86,27.32,8.84031652543549,12.826827591983,20.7846340339843,150.057560867757,203.269238779765,129.218295473951,0.68920521945433,0.810201660735469,0.749703440094899,0.145293774416158,2.58518754511756,30.4715470371386
9.5,16.86,26,7.22745326950406,12.826827591983,19.7803984218006,105.643409011194,203.269238779765,149.639090673289,0.563463819691578,0.771055753262159,0.667259786476868,0.146792060493764,3.52957767174742,27.5297524452362
18.12,28.7,30,13.7854161308856,21.8345167194491,22.8235366405391,138.35288068408,149.626714267259,137.318733452325,0.631358885017422,0.522648083623693,0.577003484320557,0.148283484268129,8.30736740687838,20.897345820798
11.62,15.56,16.86,8.84031652543549,11.837807670893,12.826827591983,150.057560867757,196.662549298828,203.269238779765,0.746786632390746,0.541773778920308,0.644280205655527,0.148382756131742,7.92456487654547,27.4006465124715
14.26,26,30,10.8487877498029,19.7803984218006,22.8235366405391,260.079381454208,149.639090673289,137.318733452325,0.548461538461538,0.576923076923077,0.562692307692308,0.148412816946706,5.61649435821277,29.8221285204346
14.26,18.12,27.32,10.8487877498029,13.7854161308856,20.7846340339843,260.079381454208,138.35288068408,129.218295473951,0.786975717439294,0.753863134657837,0.770419426048565,0.148584964676597,1.67669472075713,34.2599233852353
7.74,9.5,12.94,5.88847245325909,7.22745326950406,9.84455213761921,1044.78379036054,105.643409011194,330.362923812463,0.814736842105263,0.681052631578947,0.747894736842105,0.148767378281914,13.433177685525,61.1077682971372
16.86,27.32,28.7,12.826827591983,20.7846340339843,21.8345167194491,203.269238779765,129.218295473951,149.626714267259,0.617130307467057,0.525256222547584,0.571193265007321,0.149835792081561,6.69465434028255,25.0336144351741
9.5,11.62,15.56,7.22745326950406,8.84031652543549,11.837807670893,105.643409011194,150.057560867757,196.662549298828,0.817555938037866,0.669535283993115,0.743545611015491,0.150916537133268,10.5948147457585,20.3173833133768
9.5,18.12,26,7.22745326950406,13.7854161308856,19.7803984218006,105.643409011194,138.35288068408,149.639090673289,0.524282560706402,0.717439293598234,0.620860927152318,0.151165780769446,3.03487301234241,23.6935797889368
11.62,14.26,18.12,8.84031652543549,10.8487877498029,13.7854161308856,150.057560867757,260.079381454208,138.35288068408,0.814866760168303,0.635343618513324,0.725105189340814,0.151474093691002,7.56296777552442,27.3796120529597
15.56,27.32,30,11.837807670893,20.7846340339843,22.8235366405391,196.662549298828,129.218295473951,137.318733452325,0.569546120058565,0.54904831625183,0.559297218155198,0.152533527225209,6.69416814120988,23.8018668865104
15.56,26,27.32,11.837807670893,19.7803984218006,20.7846340339843,196.662549298828,149.639090673289,129.218295473951,0.598461538461538,0.525384615384615,0.561923076923077,0.156883898243071,5.18125435330412,25.4939948503782
7.74,9.5,11.62,5.88847245325909,7.22745326950406,8.84031652543549,1044.78379036054,105.643409011194,150.057560867757,0.814736842105263,0.611578947368421,0.713157894736842,0.157985548933752,14.2075922202821,50.9901834666513
9.5,11.62,14.26,7.22745326950406,8.84031652543549,10.8487877498029,105.643409011194,150.057560867757,260.079381454208,0.817555938037866,0.613597246127367,0.715576592082616,0.159949790907361,11.3742428991016,21.9229898444299
9.5,11.62,16.86,7.22745326950406,8.84031652543549,12.826827591983,105.643409011194,150.057560867757,203.269238779765,0.817555938037866,0.725473321858864,0.771514629948365,0.161943801702397,9.85307658930669,20.3664584030792
11.62,18.12,30,8.84031652543549,13.7854161308856,22.8235366405391,150.057560867757,138.35288068408,137.318733452325,0.641280353200883,0.827814569536424,0.734547461368653,0.163135255266002,3.28518475838997,24.053810278208
12.94,16.86,18.12,9.84455213761921,12.826827591983,13.7854161308856,330.362923812463,203.269238779765,138.35288068408,0.767497034400949,0.537366548042705,0.652431791221827,0.163967325201094,6.58543051129854,33.2063836638598
16.86,28.7,30,12.826827591983,21.8345167194491,22.8235366405391,203.269238779765,149.626714267259,137.318733452325,0.587456445993031,0.522648083623693,0.555052264808362,0.164364264123537,7.91668694490899,23.0528328146265
14.26,26,28.7,10.8487877498029,19.7803984218006,21.8345167194491,260.079381454208,149.639090673289,149.626714267259,0.548461538461538,0.551923076923077,0.550192307692308,0.164737802951344,5.19019280078372,29.059942475481
9.5,16.86,18.12,7.22745326950406,12.826827591983,13.7854161308856,105.643409011194,203.269238779765,138.35288068408,0.563463819691578,0.537366548042705,0.550415183867141,0.165436840818284,7.14358077955354,21.5389292135718
11.62,14.26,16.86,8.84031652543549,10.8487877498029,12.826827591983,150.057560867757,260.079381454208,203.269238779765,0.814866760168303,0.591164095371669,0.703015427769986,0.166324700468842,8.36850233330319,28.2016374283502
9.5,18.12,27.32,7.22745326950406,13.7854161308856,20.7846340339843,105.643409011194,138.35288068408,129.218295473951,0.524282560706402,0.753863134657837,0.639072847682119,0.166962443861603,3.12696017166561,20.8880146952704
12.94,18.12,30,9.84455213761921,13.7854161308856,22.8235366405391,330.362923812463,138.35288068408,137.318733452325,0.714128035320088,0.827814569536424,0.770971302428256,0.167991750136061,3.07761875051127,33.842318134558
7.74,9.5,14.26,5.88847245325909,7.22745326950406,10.8487877498029,1044.78379036054,105.643409011194,260.079381454208,0.814736842105263,0.750526315789474,0.782631578947368,0.170168203861406,12.6910136353843,55.7934229740276
15.56,27.32,28.7,11.837807670893,20.7846340339843,21.8345167194491,196.662549298828,129.218295473951,149.626714267259,0.569546120058565,0.525256222547584,0.547401171303075,0.171549742871893,6.3407396679142,23.0585057640364
7.74,14.26,15.56,5.88847245325909,10.8487877498029,11.837807670893,1044.78379036054,260.079381454208,196.662549298828,0.542776998597476,0.545582047685835,0.544179523141655,0.173234334957097,10.0378586128282,63.8377490279828
14.26,18.12,28.7,10.8487877498029,13.7854161308856,21.8345167194491,260.079381454208,138.35288068408,149.626714267259,0.786975717439294,0.791942604856512,0.789459161147903,0.17369032323983,2.35819978230569,30.7977474406038
12.94,16.86,27.32,9.84455213761921,12.826827591983,20.7846340339843,330.362923812463,203.269238779765,129.218295473951,0.767497034400949,0.810201660735469,0.788849347568209,0.17541111019477,2.3157057067278,37.0460410078149
9.5,16.86,27.32,7.22745326950406,12.826827591983,20.7846340339843,105.643409011194,203.269238779765,129.218295473951,0.563463819691578,0.810201660735469,0.686832740213523,0.176785525838782,3.60906417995534,23.1012118095435
9.5,15.56,26,7.22745326950406,11.837807670893,19.7803984218006,105.643409011194,196.662549298828,149.639090673289,0.610539845758355,0.83547557840617,0.723007712082262,0.177895105913426,4.21125878475722,23.1759833691046
14.26,26,27.32,10.8487877498029,19.7803984218006,20.7846340339843,260.079381454208,149.639090673289,129.218295473951,0.548461538461538,0.525384615384615,0.536923076923077,0.184209311242551,4.91816025386073,26.2840614146063
12.94,15.56,18.12,9.84455213761921,11.837807670893,13.7854161308856,330.362923812463,196.662549298828,138.35288068408,0.831619537275064,0.582262210796915,0.70694087403599,0.185293177674246,6.97457360922076,30.0696313943216
