i_A,i_B,region_A,region_B,A_n1,A_n2,A_n3,A_Q_low,A_Q_high,A_Q_mean,A_koide_error,A_mean_deltaD,B_n1,B_n2,B_n3,B_Q_low,B_Q_high,B_Q_mean,B_koide_error,B_mean_deltaD,scale_a,scale_rmse,affine_a,affine_b,affine_rmse,phase_coherence,mean_phase_offset
201,131,B_low_sideband_Kst_signal,signal_B_signal_Kst,12.12690580167312,13.602827837761318,18.076241019306984,0.8914988814317673,0.6644295302013422,0.7779642058165548,0.22484334452179103,416.60856586698554,14.013651497291022,14.911377271818894,17.634985977589896,0.9397959183673469,0.5913265306122448,0.7655612244897958,0.2833297094116187,162.43906384261496,1.0496382549795507,1.1318776631648613,0.6087300885311544,6.631333304830211,0.0002994465983272775,0.7496869769367482,1.0918172887949351
174,133,B_low_sideband_Kst_signal,signal_B_signal_Kst,10.437964090273224,12.12690580167312,19.97820240601858,0.8607277289836888,0.8237139272271017,0.8422208281053952,0.2496468264511855,374.0251860577558,14.013651497291022,14.911377271818894,19.080476631490708,0.9397959183673469,0.639795918367347,0.7897959183673469,0.2744478552452887,159.80986370403198,1.0811351012483683,2.382715486659804,0.5310716295522152,8.470695556387566,0.0003215605007163403,0.7539700337861979,2.6487493038713854
115,1,B_low_sideband_Kst_signal,signal_B_signal_Kst,8.672943923404866,11.046591734020936,12.12690580167312,0.7851239669421486,0.5488980716253443,0.6670110192837464,0.16703764236411703,387.10122974411144,6.953570829817586,11.168317262770476,13.085494340575764,0.622615803814714,0.5858310626702998,0.6042234332425069,0.09205907555183773,199.56162665982092,0.9943577967771325,1.1371004113419725,1.7753813067016042,-8.444064806095788,0.0003397295903456403,0.33333333333333337,-1.5450501296356314
71,133,B_low_sideband_Kst_signal,signal_B_signal_Kst,7.623061237940067,9.814120755431825,19.97820240601858,0.7767441860465114,1.017829457364341,0.8972868217054262,0.368011366459514,353.9881788763937,14.013651497291022,14.911377271818894,19.080476631490708,0.9397959183673469,0.639795918367347,0.7897959183673469,0.2744478552452887,159.80986370403198,1.1459760476287066,4.31400194101553,0.410123732136262,10.886856103803245,0.00036421339869730987,0.3317335338263614,3.0710118258161723
156,55,B_low_sideband_Kst_signal,signal_B_signal_Kst,9.814120755431825,13.602827837761318,19.01961386711593,0.7214765100671142,0.6991051454138699,0.710290827740492,0.06368966821246871,401.5645769727192,11.168317262770476,13.085494340575764,15.824318737440455,0.8534883720930231,0.6046511627906975,0.7290697674418603,0.1968458085390762,207.16628101802857,0.9152227279452767,1.6009701977121673,0.505773647077486,6.204945125268216,0.0004246002089277913,0.3245784174636273,3.1412383687876675
36,41,B_low_sideband_Kst_signal,signal_B_signal_Kst,4.656001474669981,11.046591734020936,14.56141637666396,0.42148760330578516,0.6590909090909091,0.5402892561983471,0.24529607663671626,372.4883654838779,6.953570829817586,17.634985977589896,23.508242739755296,0.3943054357204487,0.6665228645383952,0.530414150129422,0.2723612689087624,103.27388293783504,1.6008742900542186,0.3116785519566579,1.67129361866204,-0.8277488493225421,0.0004563908713947033,0.8337611168976476,2.705146990154606
211,133,B_low_sideband_Kst_signal,signal_B_signal_Kst,13.602827837761318,14.56141637666396,19.01961386711593,0.9341692789968653,0.6530825496342736,0.7936259143155695,0.2678472994805628,425.7826048295133,14.013651497291022,14.911377271818894,19.080476631490708,0.9397959183673469,0.639795918367347,0.7897959183673469,0.2744478552452887,159.80986370403198,1.0156056974876322,0.1916178900487691,0.9353186734024787,1.2911872845875618,0.00047194127228544617,0.7841029431522648,-1.114657328237799
101,34,B_low_sideband_Kst_signal,signal_B_signal_Kst,8.672943923404866,9.814120755431825,11.046591734020936,0.8837209302325578,0.5627906976744185,0.7232558139534881,0.24062994465820303,345.4691415647497,6.953570829817586,14.911377271818894,23.508242739755296,0.4663265306122449,0.7882653061224489,0.6272959183673469,0.23435528419858928,110.50048691202399,1.5885318702430047,5.245610295636441,6.97437161163134,-53.53516801070545,0.0005516136764592758,0.7796762589569949,-2.5459057882809244
117,136,B_low_sideband_Kst_signal,signal_B_signal_Kst,8.672943923404866,11.046591734020936,14.56141637666396,0.7851239669421486,0.6590909090909091,0.7221074380165289,0.11869930114117078,369.6871694215438,14.013651497291022,15.824318737440455,18.502280369930386,0.8855769230769233,0.5846153846153849,0.735096153846154,0.23378219189635316,154.68626237365797,1.3823325272580715,1.533204989415439,0.76224578618343,7.403246456773547,0.0006078364642203803,0.6923877957333022,-2.634268468697653
212,49,B_low_sideband_Kst_signal,signal_B_signal_Kst,13.602827837761318,14.56141637666396,19.97820240601858,0.9341692789968653,0.6859979101358412,0.8100835945663533,0.2682001949617954,406.9536997377777,11.168317262770476,12.142121492766814,17.634985977589896,0.9197994987468671,0.7261904761904762,0.8229949874686716,0.2600371407648717,203.98146968108335,0.855365748836744,0.45266790114521316,1.0142261955293765,-2.6273019154005643,0.0006508269358706341,0.999272760488448,1.5438330383130128
