KDE_BANDWIDTH_SCALE,label,Q,n_minus,n0,n_plus,k_minus,k0,k_plus,deltaD,p_vs_model_scanmax_null,p_vs_fixed_model_null,A_minus,A0,A_plus,any_A_bound_active,success
0.5,dense_Q_0.600000,0.6,9.0,15.0,18.0,11.829893160397697,19.716488600662828,23.659786320795394,162.1750792003371,0.0001999600079984003,0.0001999600079984003,0.07658825067504231,0.1098905672264686,0.06938262483728792,False,True
0.5,dense_Q_0.595000,0.595,8.924999999999999,15.0,17.849999999999998,11.731310717394381,19.716488600662828,23.462621434788762,163.02883151110473,0.0001999600079984003,0.0001999600079984003,0.07639075126061473,0.11033249006814126,0.07052619429272775,False,True
0.5,dense_Q_0.590000,0.59,8.85,15.0,17.7,11.632728274391068,19.716488600662828,23.265456548782137,162.66992371922618,0.0001999600079984003,0.0001999600079984003,0.07583056656840981,0.11052533423061024,0.07068788309402851,False,True
0.5,dense_Q_0.585000,0.585,8.774999999999999,15.0,17.549999999999997,11.534145831387754,19.716488600662828,23.068291662775508,160.9140369764193,0.0001999600079984003,0.0001999600079984003,0.07493232927207204,0.11030761364983754,0.06984793514080988,False,True
0.5,dense_Q_0.580000,0.58,8.7,15.0,17.4,11.43556338838444,19.716488600662828,22.87112677676888,157.73934450245474,0.0001999600079984003,0.0001999600079984003,0.07391632345532767,0.10982755975118454,0.06787273351624255,False,True
0.5,dense_Q_0.575000,0.575,8.625,15.0,17.25,11.336980945381127,19.716488600662828,22.673961890762254,153.5091959154588,0.0001999600079984003,0.0001999600079984003,0.07300415280600388,0.10942210594507758,0.06486383806350748,False,True
0.5,dense_Q_0.570000,0.57,8.549999999999999,15.0,17.099999999999998,11.23839850237781,19.716488600662828,22.47679700475562,149.1879782554504,0.0001999600079984003,0.0001999600079984003,0.07225550487963193,0.10933621206716909,0.061601493743838304,False,True
0.5,dense_Q_0.565000,0.565,8.475,15.0,16.95,11.139816059374498,19.716488600662828,22.279632118748996,146.15167931492613,0.0001999600079984003,0.0001999600079984003,0.07165450155506843,0.10951690106179313,0.05945266702341345,False,True
0.5,dense_Q_0.560000,0.56,8.4,15.0,16.8,11.041233616371185,19.716488600662828,22.08246723274237,145.74799167833078,0.0001999600079984003,0.0001999600079984003,0.07122773626828159,0.1096126140816725,0.059982065201954975,False,True
0.5,dense_Q_0.555000,0.555,8.325000000000001,15.0,16.650000000000002,10.94265117336787,19.716488600662828,21.88530234673574,148.70533991346952,0.0001999600079984003,0.0001999600079984003,0.07099072163585869,0.1092983016722478,0.06407551957407129,False,True
0.5,dense_Q_0.550000,0.55,8.25,15.0,16.5,10.844068730364556,19.716488600662828,21.688137460729113,154.62724125333398,0.0001999600079984003,0.0001999600079984003,0.07093535942022786,0.10863479815691858,0.07103109614540377,False,True
0.5,spin1_Qhalf,0.5,7.5,15.0,15.0,9.858244300331414,19.716488600662828,19.716488600662828,127.01228080616954,0.0001999600079984003,0.0001999600079984003,0.08839053823058707,0.04887520258839093,0.04887520258839093,False,True
0.5,spin32_Q4over9,0.4444444444444444,6.666666666666666,15.0,13.333333333333332,8.762883822516812,19.716488600662828,17.525767645033625,234.65891567757228,0.0001999600079984003,0.0001999600079984003,0.09846345893594681,0.09257678035044546,0.10220283219986133,True,True
0.5,neutrino_like_Qthird,0.3333333333333333,5.0,15.0,10.0,6.57216286688761,19.716488600662828,13.14432573377522,206.10801294733483,0.0001999600079984003,0.0001999600079984003,0.11131319420903346,0.10666668154507919,0.10482187682302231,True,True
0.75,threshold_Q1,1.0,15.0,15.0,30.0,19.716488600662828,19.716488600662828,39.432977201325656,134.4859110147072,0.0001999600079984003,0.0001999600079984003,0.06654777612466808,0.06654777612466808,0.03323679166447932,False,True
0.75,near_075,0.75,11.25,15.0,22.5,14.787366450497123,19.716488600662828,29.574732900994245,336.1431239856681,0.0001999600079984003,0.0001999600079984003,0.1124405898416338,0.13347887921231963,0.07306718141246016,True,True
0.75,dense_Q_0.745000,0.745,11.175,15.0,22.35,14.688784007493808,19.716488600662828,29.377568014987617,342.7940695070388,0.0001999600079984003,0.0001999600079984003,0.13415050624181438,0.13193825264236217,0.07125229586606843,True,True
0.75,dense_Q_0.740000,0.74,11.1,15.0,22.2,14.590201564490492,19.716488600662828,29.180403128980984,347.04277127616865,0.0001999600079984003,0.0001999600079984003,0.14142135623730953,0.134110127571176,0.06571433441095001,True,True
0.75,dense_Q_0.735000,0.735,11.025,15.0,22.05,14.49161912148718,19.716488600662828,28.98323824297436,338.4259108261085,0.0001999600079984003,0.0001999600079984003,0.13537228967994341,0.13768005602968802,0.06158688981446076,True,True
0.75,dense_Q_0.730000,0.73,10.95,15.0,21.9,14.393036678483863,19.716488600662828,28.786073356967727,327.52730567624394,0.0001999600079984003,0.0001999600079984003,0.11662065604602274,0.13901313304526414,0.06379201378163459,True,True
