KDE_BANDWIDTH_SCALE,label,Q,obs_deltaD,p_vs_fixed_model_null,p_vs_model_scanmax_null,null_fixed_mean,null_fixed_std,null_scanmax_mean,null_scanmax_std
0.5,dense_Q_0.625000,0.625,161.42840924832888,0.0001999600079984003,0.0001999600079984003,6.005138011496756,3.505307823852225,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.620000,0.62,158.67281270567503,0.0001999600079984003,0.0001999600079984003,6.006395770614588,3.4999332767834384,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.615000,0.615,158.04095076528506,0.0001999600079984003,0.0001999600079984003,6.010669161370259,3.49230251942307,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.610000,0.61,158.93112570587994,0.0001999600079984003,0.0001999600079984003,6.018589599746717,3.4847540202044094,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.605000,0.605,160.56621730525137,0.0001999600079984003,0.0001999600079984003,6.029474399725166,3.482704368095435,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.600000,0.6,162.1750792003371,0.0001999600079984003,0.0001999600079984003,6.040994323302799,3.489519127066983,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.595000,0.595,163.02883151110473,0.0001999600079984003,0.0001999600079984003,6.049829309381332,3.500746879318184,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.590000,0.59,162.66992371922618,0.0001999600079984003,0.0001999600079984003,6.05324563891892,3.508547898849019,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.585000,0.585,160.9140369764193,0.0001999600079984003,0.0001999600079984003,6.050456288904221,3.510326125363642,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.580000,0.58,157.73934450245474,0.0001999600079984003,0.0001999600079984003,6.042893897275686,3.508770670468949,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.575000,0.575,153.5091959154588,0.0001999600079984003,0.0001999600079984003,6.0337246031088485,3.5071357496994273,10.96927694617047,3.8988539611223203
