KDE_BANDWIDTH_SCALE,null_best_deltaD,null_best_n,null_deltaD_n10,null_deltaD_n11,null_deltaD_n12,null_deltaD_n13,null_deltaD_n14,null_deltaD_n15,null_deltaD_n16,null_deltaD_n17,null_deltaD_n18,null_deltaD_n19,null_deltaD_n20,null_deltaD_n21,null_deltaD_n22
0.5,3.9874098328580345,16,1.2235602289075445,1.653847798350327,0.7545462204040803,1.0534238158857079,0.4921174449902068,1.9408300200155253,3.9874098328580345,0.06598808183725424,2.6395688418521104,0.9889388292125929,0.6153554760265649,1.7261729518884223,1.138371028611303
0.5,6.747349702841319,17,1.2100567513253324,0.6695466288353416,1.200844698689373,3.2590139118712287,0.6766002011326151,0.6146159463864009,1.1522029722161662,6.747349702841319,2.1183854895635577,1.0679789529843262,5.788096639352673,3.478354358906323,0.5759891644677779
0.5,3.4381681849726036,15,3.078227275025448,0.1245548901461433,1.3479640791990377,0.7828732664653018,1.125857037212306,3.4381681849726036,0.7716898060013193,0.05811563308775192,0.39407867227526694,0.96253019754392,1.1004357598417265,2.1713766907783096,0.35029902477656805
0.5,4.196201336163568,12,0.3863286503374894,0.34339539097851457,4.196201336163568,1.939051464395277,0.2889697094653769,1.0235340497244039,0.48185966430415306,0.26279655591172,2.450905793218645,1.2604022493900189,0.6523128356617036,2.132092951282061,0.48890187087684467
0.5,4.859128835183398,19,3.815897252256889,2.3805476617493184,0.05737490672962764,0.7342043205105035,3.047804209398681,0.5565094130010664,0.4443407756733002,0.9347685659444522,1.0852261486812402,4.859128835183398,2.798216968427706,0.7379505846837802,1.0995962721030956
0.5,1.7067449118530007,13,0.8312724196316239,0.2081827398335605,0.008016729606005413,1.7067449118530007,0.6714659657621169,1.276513423189769,1.2696929194120727,1.1178215413213266,1.2456283347526593,0.029410400505476275,0.7945701840838737,0.1975342037052883,0.261481203495876
0.5,3.732090388823046,15,0.4231232555824782,0.9301574943884887,1.6705719304229767,0.7224714513208319,0.2407151260884497,3.732090388823046,2.4778228533297515,0.9268701648000004,1.4025285406889587,2.912547679553338,0.0966176884181813,2.224230453575526,2.423439643421741
0.5,3.549759547070998,14,0.2259665260123711,0.6356823622263832,0.1930053416974289,0.611103853767311,3.549759547070998,2.3706932593537147,0.901895974118645,0.42213652085332853,0.2960819412558564,2.9907602507884654,2.524991017407153,0.759783594840691,0.5528489323962305
0.5,1.8809884593687265,15,0.352636765892985,0.2944916658898755,0.7075904459423832,1.0697468811890367,0.6319740736848374,1.8809884593687265,1.2181396124742925,0.5979705125102441,1.0288131958821687,1.066846550236182,0.4809186660537854,0.34384369845532703,0.8050015767810237
0.5,3.2193539554319273,20,0.8430369613762139,0.15242961631876284,1.5131962833448753,0.8962407907447556,1.8933121107747155,0.1284725829793274,2.4450873357877114,1.7586250056198338,0.26338834174066506,0.015129812701090373,3.2193539554319273,0.49317961487932394,1.2289545614845707
