KDE_BANDWIDTH_SCALE,n,k2,D_base,A1_base,base_success,D_two,deltaD,C,A1,phi1,A2,phi2,success,A1_bound_active,A2_bound_active,delta_k_from_reference,abs_delta_k_from_reference,p_vs_integer_scanmax_null,z_vs_integer_scanmax_null,p_vs_fixed_n_null,z_vs_fixed_n_null,null_best_p95,null_best_p99,null_best_mean
0.75,19,24.974218894172914,581.2650051079169,0.04335744746232549,True,540.8413747448997,40.423630363017196,-0.02177148467605027,0.03806426461239101,-2.102952253166284,0.07579091579308983,1.8370378356539967,True,False,False,5.4446188941729154,5.4446188941729154,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.111252129494678,14.568060767543477,6.024969559314511
0.75,20,26.28865146755044,581.2650051079169,0.04335744746232549,True,488.8703964190715,92.39460868884538,-0.023461121492878455,0.054778964413469425,-2.0620515648591558,0.1,-2.0741033602423333,True,False,True,6.759051467550442,6.759051467550442,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.111252129494678,14.568060767543477,6.024969559314511
0.75,21,27.603084040927964,581.2650051079169,0.04335744746232549,True,545.3242151733982,35.94078993451865,-0.01514485694180025,0.03468560317629971,-1.9449616971214085,0.06524124103540309,0.4398677727011136,True,False,False,8.073484040927966,8.073484040927966,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.111252129494678,14.568060767543477,6.024969559314511
0.75,22,28.91751661430548,581.2650051079169,0.04335744746232549,True,554.3954447291679,26.86956037874893,-0.016898311402140355,0.04870446544202379,-2.0110597900050506,0.0604478813712872,-2.8470208940896877,True,False,False,9.387916614305482,9.387916614305482,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.111252129494678,14.568060767543477,6.024969559314511
1.0,10,13.14432573377522,823.943220693117,0.06100961369114105,True,699.1652513489286,124.77796934418848,-0.02106745942636338,0.08492329825891137,-1.5781493900963885,0.1,-1.3606346572308632,True,False,True,-6.385274266224778,6.385274266224778,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,11,14.45875830715274,823.943220693117,0.06100961369114105,True,725.1486960526757,98.7945246404413,-0.03146426222946438,0.0954912391845762,-1.5904571443816387,0.1,1.5992673424452137,True,False,True,-5.070841692847258,5.070841692847258,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,12,15.773190880530263,823.943220693117,0.06100961369114105,True,823.7256725997221,0.21754809339495296,-0.01514186860525499,0.06202922595154168,-1.5350834415103212,0.005269308750948286,-0.8961101273621435,True,False,False,-3.756409119469735,3.756409119469735,1.0,-inf,0.8930213957208558,-1.2427574986752248,10.869733092313005,13.93153041026162,5.918115059565736
1.0,13,17.08762345390779,823.943220693117,0.06100961369114105,True,771.79589956861,52.147321124507016,-0.027395400929183807,0.04777328575111692,-1.466719739790351,0.08646870719715231,-2.964975458181633,True,False,False,-2.44197654609221,2.44197654609221,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,14,18.402056027285308,823.943220693117,0.06100961369114105,True,723.2170581385952,100.7261625545218,-0.01959232408570088,0.05488531622514114,-1.511071525565602,0.1,-0.0851836444986463,True,False,True,-1.1275439727146903,1.1275439727146903,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,15,19.716488600662828,823.943220693117,0.06100961369114105,True,765.6895872775816,58.25363341553543,-0.026350424618163608,0.052109748886739284,-1.9994231887815037,0.09316780953735238,2.3894152480353847,True,False,False,0.18688860066282942,0.18688860066282942,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,16,21.03092117404035,823.943220693117,0.06100961369114105,True,807.2453768271906,16.697843865926416,-0.015593318777436629,0.053603698793759945,-1.6714961773895767,0.046763954567877596,-0.9804225983363306,True,False,False,1.5013211740403527,1.5013211740403527,0.0023995200959808036,2.8202222273814517,0.0005998800239952009,3.238937157601321,10.869733092313005,13.93153041026162,5.918115059565736
1.0,17,22.345353747417875,823.943220693117,0.06100961369114105,True,821.4073580423506,2.5358626507664894,-0.013986301812269371,0.0633493922093089,-1.457253252392242,0.01765332577436585,-0.8745418725649857,True,False,False,2.815753747417876,2.815753747417876,0.9492101579684064,-1.6372431031359445,0.28054389122175566,0.581226540477322,10.869733092313005,13.93153041026162,5.918115059565736
1.0,18,23.659786320795394,823.943220693117,0.06100961369114105,True,790.8372631232658,33.105957569851284,-0.011742443177753343,0.05969653513637586,-1.7525468745722985,0.06988676692745606,-0.7561298871698784,True,False,False,4.130186320795396,4.130186320795396,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,19,24.974218894172914,823.943220693117,0.06100961369114105,True,747.1793442322814,76.7638764608356,-0.027817526891391855,0.046911293985234546,-1.8447438654559054,0.1,1.6691072580614457,True,False,True,5.4446188941729154,5.4446188941729154,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,20,26.28865146755044,823.943220693117,0.06100961369114105,True,688.4308493423518,135.5123713507652,-0.02593645985344265,0.06889791596576275,-1.7889400929099377,0.1,-2.0956644862071254,True,False,True,6.759051467550442,6.759051467550442,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,21,27.603084040927964,823.943220693117,0.06100961369114105,True,771.560825286464,52.38239540665302,-0.021069085969640824,0.05153239721138082,-1.622725721507526,0.07888650964068986,0.6129884976558507,True,False,False,8.073484040927966,8.073484040927966,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.0,22,28.91751661430548,823.943220693117,0.06100961369114105,True,773.0131352245115,50.93008546860551,-0.022272589057873732,0.06652005395709891,-1.8001467899593475,0.0831086484656488,-2.7099241938841554,True,False,False,9.387916614305482,9.387916614305482,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,10.869733092313005,13.93153041026162,5.918115059565736
1.25,10,13.14432573377522,1059.6645947377945,0.07790718980614735,True,917.9987841933317,141.66581054446272,-0.02447190996392758,0.1,-1.455718056620742,0.1,-1.266693316765718,True,True,True,-6.385274266224778,6.385274266224778,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,11,14.45875830715274,1059.6645947377945,0.07790718980614735,True,943.8721725783453,115.79242215944919,-0.03320234050215915,0.1,-1.4990048013848374,0.1,1.730879134071923,True,True,True,-5.070841692847258,5.070841692847258,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,12,15.773190880530263,1059.6645947377945,0.07790718980614735,True,1057.2580621836114,2.406532554183059,-0.019672016212707113,0.08038395898998117,-1.3971066631067472,0.017754619482256217,-0.11654535040707317,True,False,False,-3.756409119469735,3.756409119469735,0.9658068386322736,-1.8224527114844078,0.3025394921015797,0.5171105574270786,11.030409269594319,14.365306288293601,5.945581986248671
1.25,13,17.08762345390779,1059.6645947377945,0.07790718980614735,True,983.052463258765,76.61213147902947,-0.03323579079148333,0.06431341164896591,-1.3766413832862674,0.1,-3.046495739125489,True,False,True,-2.44197654609221,2.44197654609221,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,14,18.402056027285308,1059.6645947377945,0.07790718980614735,True,941.3450505268394,118.31954421095509,-0.022558691033190772,0.07098280705127089,-1.4096148206431662,0.1,-0.14734549878495906,True,False,True,-1.1275439727146903,1.1275439727146903,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,15,19.716488600662828,1059.6645947377945,0.07790718980614735,True,976.4211296238674,83.24346511392707,-0.029667077292842486,0.06373723567300527,-1.7886090370518604,0.1,2.339418100311317,True,False,True,0.18688860066282942,0.18688860066282942,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
1.25,16,21.03092117404035,1059.6645947377945,0.07790718980614735,True,1027.459404932717,32.20518980507745,-0.02034406292666242,0.06574351815374092,-1.5381396846480735,0.06669527993486553,-1.197281029919479,True,False,False,1.5013211740403527,1.5013211740403527,0.0001999600079984003,3.540136575008421,0.0001999600079984003,3.540136575008421,11.030409269594319,14.365306288293601,5.945581986248671
