"ell","q2_center","N_signal","N_Blow","N_Bhigh","N_side_combined","alpha","R_subtracted","variance","z_residual"
-1.89812698743167,0.149849025646668,8,23,19,42,0.284958979033728,-3.96827711941659,11.4104680287417,-1.17476301094989
-1.87626438713101,0.153161189329088,6,12,8,20,0.284958979033728,0.300820419325433,7.6240323946389,0.108946917204017
-1.85440178683034,0.156546562885325,10,11,12,23,0.284958979033728,3.44594348222425,11.8676372538347,1.00029021064526
-1.83253918652967,0.160006764497974,12,14,7,21,0.284958979033728,6.0158614402917,13.7052340143708,1.62500460911613
-1.810676586229,0.163543448116867,4,11,13,24,0.284958979033728,-2.83901549680948,5.94883887356668,-1.16399646156727
-1.78881398592833,0.16715830424965,8,8,12,20,0.284958979033728,2.30082041932543,9.6240323946389,0.741658852573973
-1.76695138562766,0.17085306076983,7,18,15,33,0.284958979033728,-2.40364630811304,9.67965345115418,-0.772575013064766
-1.74508878532699,0.174629483742686,13,12,8,20,0.284958979033728,7.30082041932543,14.6240323946389,1.90914140174621
-1.72322618502633,0.178489378269435,6,20,13,33,0.284958979033728,-3.40364630811304,8.67965345115418,-1.15529589704559
-1.70136358472566,0.182434589350058,8,17,11,28,0.284958979033728,0.0211485870556061,10.2736453524945,0.00659810272053566
-1.67950098442499,0.186467002765193,10,13,16,29,0.284958979033728,1.73618960802188,12.3548469722264,0.493944856151805
-1.65763838412432,0.190588545977525,12,17,23,40,0.284958979033728,0.601640838650866,15.2480647892778,0.154074207888659
-1.63577578382365,0.194801189053099,8,20,14,34,0.284958979033728,-1.68860528714676,10.7608550708861,-0.514759954249509
-1.61391318352298,0.199106945602997,9,22,22,44,0.284958979033728,-3.53819507748405,12.5728712682056,-0.997848340742695
-1.59205058322231,0.203507873745825,8,24,11,35,0.284958979033728,-1.97356426618049,10.8420566906181,-0.599370599821473
-1.57018798292164,0.208006077091483,9,19,17,36,0.284958979033728,-1.25852324521422,11.92325831035,-0.364471660240245
-1.54832538262098,0.212603705746671,11,13,13,26,0.284958979033728,3.59106654512306,13.1112421130306,0.991748459187043
-1.52646278232031,0.217302957342623,13,15,16,31,0.284958979033728,4.16627164995442,15.5172502116903,1.05764568511011
