"k1","k2","k3","n1","n2","n3","delta1","delta2","delta3","Q_low","Q_high","Q_mean","koide_error","integer_error_10_15_20","score"
16.2,20.06,26.08,12.3247097858911,15.2613381669738,19.8412611861753,1.13901909304616,2.03665629726879,3.52641783163119,0.807577268195414,0.650049850448654,0.728813559322034,0.141886983914722,2.34473265792706,0.43519878750072
16.2,20.06,27.46,12.3247097858911,15.2613381669738,20.8911438716401,1.13901909304616,2.03665629726879,1.87051231893349,0.807577268195414,0.68444666001994,0.746011964107677,0.142027904958272,2.50333989424069,0.324940013041996
10.26,16.2,26.08,7.80564953106438,12.3247097858911,19.8412611861753,2.17616350497894,1.13901909304616,3.52641783163119,0.633333333333333,0.804938271604938,0.719135802469136,0.142232724235025,3.46374792980655,0.42062642804762
14.82,18.6,22.32,11.2748271004263,14.1505927171343,16.9807112605611,1.8994793132656,1.93054374631475,2.31901513468904,0.796774193548387,0.6,0.698387096774194,0.146193067536467,3.38567295530287,0.372584646784506
6.76,12.38,18.6,5.14290358966815,9.41851278699581,14.1505927171343,4.97945444767726,1.75974044122682,1.93054374631475,0.546042003231018,0.751211631663974,0.648626817447496,0.147302954944426,9.43185827973632,0.41046759442894
16.2,26.08,27.46,12.3247097858911,19.8412611861753,20.8911438716401,1.13901909304616,3.52641783163119,1.87051231893349,0.621165644171779,0.526457055214724,0.573811349693252,0.147407863398073,5.4439161328356,0.360335174738612
18.6,26.08,27.46,14.1505927171343,19.8412611861753,20.8911438716401,1.93054374631475,3.52641783163119,1.87051231893349,0.71319018404908,0.526457055214724,0.619823619631902,0.14772668280692,6.43889487227875,0.387519216343713
14.82,18.6,27.46,11.2748271004263,14.1505927171343,20.8911438716401,1.8994793132656,1.93054374631475,1.87051231893349,0.796774193548387,0.738172043010753,0.76747311827957,0.148462073936029,1.7722342588181,0.368636678084058
16.2,20.06,24.76,12.3247097858911,15.2613381669738,18.8370255739916,1.13901909304616,2.03665629726879,2.73534815998619,0.807577268195414,0.617148554336989,0.712362911266201,0.149358096773787,2.61248593138503,0.365753509086328
8.78,12.38,20.06,6.67968839013112,9.41851278699581,15.2613381669738,5.30354933194093,1.75974044122682,2.03665629726879,0.709208400646204,0.810177705977383,0.759693053311793,0.149683725013869,8.03942688649746,0.449250279631878
8.78,16.2,18.6,6.67968839013112,12.3247097858911,14.1505927171343,5.30354933194093,1.13901909304616,1.93054374631475,0.541975308641975,0.574074074074074,0.558024691358025,0.155310408437618,7.2385918849718,0.417045301848784
14.82,24.76,26.08,11.2748271004263,18.8370255739916,19.8412611861753,1.8994793132656,2.73534815998619,3.52641783163119,0.598546042003231,0.526655896607431,0.562600969305331,0.155703035413947,4.04637459986858,0.46076168466293
10.26,20.06,26.08,7.80564953106438,15.2613381669738,19.8412611861753,2.17616350497894,2.03665629726879,3.52641783163119,0.511465603190429,0.650049850448654,0.580757726819541,0.156088079895226,2.21555176627622,0.472819529521216
10.26,20.06,27.46,7.80564953106438,15.2613381669738,20.8911438716401,2.17616350497894,2.03665629726879,1.87051231893349,0.511465603190429,0.68444666001994,0.597956131605184,0.156216190799154,2.38277338788165,0.368613198786503
8.78,16.2,24.76,6.67968839013112,12.3247097858911,18.8370255739916,5.30354933194093,1.13901909304616,2.73534815998619,0.541975308641975,0.764197530864198,0.653086419753086,0.158304151042097,4.41974619541511,0.504624359487747
12.38,22.32,24.76,9.41851278699581,16.9807112605611,18.8370255739916,1.75974044122682,2.31901513468904,2.73534815998619,0.554659498207885,0.554659498207885,0.554659498207885,0.158402056717417,2.36935729516476,0.409079262901629
10.26,12.38,16.2,7.80564953106438,9.41851278699581,12.3247097858911,2.17616350497894,1.75974044122682,1.13901909304616,0.82875605815832,0.654281098546042,0.741518578352181,0.162561905536952,9.74054687172351,0.225576667101204
10.26,20.06,24.76,7.80564953106438,15.2613381669738,18.8370255739916,2.17616350497894,2.03665629726879,2.73534815998619,0.511465603190429,0.617148554336989,0.564307078763709,0.162909218747282,2.49719465272228,0.406537501178984
18.6,24.76,26.08,14.1505927171343,18.8370255739916,19.8412611861753,1.93054374631475,2.73534815998619,3.52641783163119,0.751211631663974,0.526655896607431,0.638933764135703,0.163556922320567,5.65467798994851,0.419950948692574
