veto_label,region,active_intervals,delta_ell_A,n1,n2,n3,k1,k2,k3,deltaD1,deltaD2,deltaD3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,mean_deltaD,score
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,13.924820663586665,16.012758823966625,12.36,17.740000000000002,20.4,238.74676663009495,307.2428258783066,328.9053818046218,0.6967305524239006,0.5749718151071025,0.6358511837655015,0.09649758043264357,4.140410296139616,291.6316581043411,65.5714218191848
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,12.8102070591733,17.03317972941548,24.254619983361213,16.32,21.700000000000003,30.900000000000002,171.16918822806656,279.6729506656375,193.89722413297432,0.7520737327188939,0.7119815668202765,0.7320276497695852,0.09668405818738236,5.489341921428289,214.91312100889277,44.872314621473286
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,17.03317972941548,23.17140394526935,12.36,21.700000000000003,29.52,238.74676663009495,279.6729506656375,219.23688665845475,0.569585253456221,0.6801843317972349,0.624884792626728,0.09801799866105952,3.7789571862153606,245.88553465139572,55.94424265567783
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,12.8102070591733,18.05360063486433,12.36,16.32,23.0,238.74676663009495,171.16918822806656,164.88386125612487,0.7573529411764706,0.7046568627450981,0.7310049019607843,0.09832220188006971,2.9449207512881728,191.59993870476214,45.681189518054275
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,12.8102070591733,16.012758823966625,12.36,16.32,20.4,238.74676663009495,171.16918822806656,328.9053818046218,0.7573529411764706,0.625,0.6911764705882353,0.09980035819363887,4.558747628310123,246.27377888759443,53.13698810554766
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,14.992337918517771,17.03317972941548,12.36,19.1,21.700000000000003,238.74676663009495,366.74036122747475,279.6729506656375,0.6471204188481674,0.5680628272251309,0.6075916230366492,0.10052249975201742,2.9817739425577785,295.0533595077357,69.28565110211352
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,4.976514261958255,8.665728304734879,10.8321603809186,6.34,11.04,13.8,203.68019153397563,172.60162245692163,180.459760791382,0.5742753623188406,0.6250000000000001,0.5996376811594204,0.10135217920796633,12.22324384731583,185.5805249274264,28.162572848152344
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,13.924820663586665,16.012758823966625,11.04,17.740000000000002,20.4,172.60162245692163,307.2428258783066,328.9053818046218,0.6223224351747462,0.5749718151071025,0.5986471251409243,0.10185458590136987,4.339859877702493,269.58327671328334,58.20861372640652
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,16.012758823966625,18.05360063486433,13.8,20.4,23.0,180.459760791382,328.9053818046218,164.88386125612487,0.6764705882352942,0.5637254901960784,0.6200980392156863,0.10340697602808324,2.3466234942345103,224.74966795070955,53.8731571457656
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,13.924820663586665,18.05360063486433,24.254619983361213,17.740000000000002,23.0,30.900000000000002,307.2428258783066,164.88386125612487,193.89722413297432,0.7713043478260871,0.6717391304347827,0.7215217391304349,0.10476055654252414,6.5445003843973675,222.0079704224686,42.24587970256735
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,17.03317972941548,24.254619983361213,12.36,21.700000000000003,30.900000000000002,238.74676663009495,279.6729506656375,193.89722413297432,0.569585253456221,0.7119815668202765,0.6407834101382488,0.10713655289801381,4.724881547086158,237.43898047623557,48.859434733926996
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,13.924820663586665,18.05360063486433,23.17140394526935,17.740000000000002,23.0,29.52,307.2428258783066,164.88386125612487,219.23688665845475,0.7713043478260871,0.6417391304347826,0.7065217391304348,0.10756591644667207,5.898007889332695,230.45452459762873,44.63016079653802
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,14.992337918517771,23.17140394526935,12.36,19.1,29.52,238.74676663009495,366.74036122747475,219.23688665845475,0.6471204188481674,0.7727748691099476,0.7099476439790575,0.10789349577025713,3.1853973552188672,274.9080048386748,61.17649519627388
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,16.012758823966625,24.254619983361213,12.36,20.4,30.900000000000002,238.74676663009495,328.9053818046218,193.89722413297432,0.6058823529411764,0.7573529411764707,0.6816176470588236,0.10917295076870621,4.383647597311119,253.84979085589703,52.60878603519482
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,14.992337918517771,18.05360063486433,11.04,19.1,23.0,172.60162245692163,366.74036122747475,164.88386125612487,0.5780104712041885,0.6020942408376964,0.5900523560209424,0.10967916470925096,2.359832653575002,234.7419483135071,54.18867658502745
