A_MAX,region,branch_label,branch_class,n_values,k_values,N_events,D_base,D_branch,deltaD,deltaD_per_event,p_fixed_branch,null_mean,null_std,null_95,null_99,A1,amps,max_amp,phases,coef_bound_active,amp_bound_active,bound_active,success_base,success_branch,branch_rank_by_deltaD
0.025,B_low_sideband_Kst_signal,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",29000,4085.063416693653,3765.6816429162923,319.38177377736065,0.011013164613012437,0.000999000999000999,5.846872101490277,3.369623059196826,12.38177208175379,16.41101133655542,0.03535533905932738,"[0.03535533905932738, 0.03490997817286817, 0.03535533905932738]",0.03535533905932738,"[-0.7853981633974483, -2.343354293697102, -0.7853981633974483]",True,True,True,True,True,5
0.1,signal_B_signal_Kst,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",15630,1936.8238633170417,1479.3822103570442,457.44165295999755,0.029266900381317823,0.000999000999000999,5.954023838600721,3.4799728870726723,12.428036365958699,16.943559307804676,0.1016435310434362,"[0.10054184665320501, 0.11492080683914735, 0.10030151718894618]",0.11492080683914735,"[1.6746627087008155, 2.086056711791953, 1.648354244249401]",True,False,True,True,True,1
0.1,signal_B_signal_Kst,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",15630,1936.8238633170417,1516.4022744165954,420.4215889004463,0.0268983742098814,0.000999000999000999,6.027333305935739,3.5051443236541413,12.292437057759654,17.69905903769207,0.1016435310434362,"[0.14142135623730953, 0.1265311322042693, 0.09652218121965292]",0.14142135623730953,"[-0.7853981633974483, -0.8218200206377387, -0.5102339017319893]",True,True,True,True,True,2
0.1,signal_B_signal_Kst,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",15630,1936.8238633170417,1529.9752535202795,406.8486097967623,0.026029981432934248,0.000999000999000999,5.926696540031168,3.421618031780937,12.156622868072336,16.023981838798154,0.1016435310434362,"[0.13366455300269653, 0.10032235789864347, 0.09163197792409324]",0.13366455300269653,"[-0.7255395683459676, -1.6509828991013384, -0.10271834778585369]",True,False,True,True,True,3
0.1,signal_B_signal_Kst,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",15630,1936.8238633170417,1535.4337281940923,401.39013512294946,0.02568075080761033,0.000999000999000999,6.1367849720801635,3.636563110603604,12.828893620295796,18.948597009311843,0.1016435310434362,"[0.10531760944776868, 0.1264632556177654, 0.1123069810863365]",0.1264632556177654,"[-0.3191296905270709, -2.482818983489343, 0.941491247568159]",True,False,True,True,True,4
0.1,signal_B_signal_Kst,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,1936.8238633170417,1563.7466922705707,373.077171046471,0.02386930077072751,0.000999000999000999,5.904055515418895,3.3977869721000604,12.267195567546729,16.703590395877548,0.1016435310434362,"[0.13595411505586577, 0.1326216068906595, 0.09094541951333819]",0.13595411505586577,"[-0.7443295523564081, 2.2874242502023825, -2.161249634520654]",True,False,True,True,True,5
0.075,signal_B_signal_Kst,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",15630,1942.5096571670801,1549.4250240029792,393.084633164101,0.02514936872451062,0.000999000999000999,5.8052373471608645,3.146038744855158,11.73208183056827,15.943577607192184,0.07665421834535857,"[0.07600940063514453, 0.09719164604657216, 0.07560826878549923]",0.09719164604657216,"[1.7339492736368145, 2.260127995645105, 1.697727912267572]",True,False,True,True,True,1
0.075,signal_B_signal_Kst,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",15630,1942.5096571670801,1554.1217989257811,388.387858241299,0.024848871288630774,0.000999000999000999,5.969264461857295,3.457561586038633,12.621721377411685,16.054982821043165,0.07665421834535857,"[0.10606601717798213, 0.10606601717798213, 0.08721299173044046]",0.10606601717798213,"[-0.7853981633974483, -0.7853981633974483, -0.5355979440500009]",True,True,True,True,True,2
0.075,signal_B_signal_Kst,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",15630,1942.5096571670801,1579.9537778138356,362.55587935324456,0.02319615350948462,0.000999000999000999,5.779298957341929,3.2245466365926023,11.9099410530662,15.129435693196006,0.07665421834535857,"[0.07996292135865907, 0.10570920739858897, 0.10237305356724107]",0.10570920739858897,"[-0.35416985296060094, -2.359575602379099, 0.8221555055159394]",True,False,True,True,True,3
0.075,signal_B_signal_Kst,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",15630,1942.5096571670801,1583.3654969369893,359.14416023009085,0.022977873335258532,0.000999000999000999,5.947059355485822,3.2577583589092414,11.912713981515639,15.846042835351996,0.07665421834535857,"[0.10606601717798213, 0.07570514556496949, 0.07578394932909803]",0.10606601717798213,"[-0.7853981633974483, -1.7073896160081101, -0.14396120405602614]",True,True,True,True,True,4
