mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
96,835.6670951097332,-181.71983780097975,0.0,1.0,2.0,185.71983780097975,187.26501524545932,False,False,True,False,False,False
97,829.1325350602552,-148.66311967085556,0.0,1.0,2.0,152.66311967085556,154.20829711533514,False,False,True,False,False,False
98,792.401689841621,-171.538647164472,0.0,1.0,2.0,175.538647164472,177.08382460895157,False,False,True,False,False,False
99,769.456003569348,-171.95112678239838,0.0,1.0,2.0,175.95112678239838,177.49630422687795,False,False,True,False,False,False
100,801.8258896282223,-158.3252827290659,0.0,1.0,2.0,162.3252827290659,163.87046017354547,False,False,True,False,False,False
101,824.6754836441496,-145.83784093140721,0.0,1.0,2.0,149.83784093140721,151.3830183758868,False,False,True,False,False,False
102,770.9751161892841,-134.74983450413657,0.0,1.0,2.0,138.74983450413657,140.29501194861615,False,False,True,False,False,False
103,806.0240871924225,-154.46065251823072,0.0,1.0,2.0,158.46065251823075,160.0058299627103,False,False,True,False,False,False
104,807.5760303402402,-183.07060277581434,0.0,1.0,2.0,187.07060277581434,188.6157802202939,False,False,True,False,False,False
105,795.5832459311721,-109.94799910220922,0.0,1.0,2.0,113.94799910220922,115.4931765466888,False,False,True,False,False,False
106,832.2675500588628,-176.6409145962943,0.0,1.0,2.0,180.6409145962943,182.18609204077387,False,False,True,False,False,False
107,804.5507215050194,-206.61710905992314,0.0,1.0,2.0,210.61710905992314,212.1622865044027,False,False,True,False,False,False
108,758.7033563003599,-162.79608300837728,0.0,1.0,2.0,166.79608300837728,168.34126045285686,False,False,True,False,False,False
109,790.7263154252337,-104.40820782598587,0.0,1.0,2.0,108.40820782598587,109.95338527046542,False,False,True,False,False,False
110,790.0154359686953,-179.23370800899013,0.0,1.0,2.0,183.23370800899013,184.7788854534697,False,False,True,False,False,False
111,898.0248881178904,-178.4952735177199,0.0,1.0,2.0,182.4952735177199,184.0404509621995,False,False,True,False,False,False
112,801.211653905157,-156.14300104734926,0.0,1.0,2.0,160.14300104734926,161.68817849182884,False,False,True,False,False,False
113,742.3240004236313,-160.17190272601607,0.0,1.0,2.0,164.17190272601607,165.71708017049562,False,False,True,False,False,False
114,809.5265718671384,-166.31039473436476,0.0,1.0,2.0,170.31039473436476,171.85557217884434,False,False,True,False,False,False
115,848.9433186317913,-238.06419732899343,0.0,1.0,2.0,242.06419732899343,243.60937477347295,False,False,True,False,False,False
116,764.736083768764,-144.23490921222438,0.0,1.0,2.0,148.23490921222438,149.78008665670396,False,False,True,False,False,False
117,887.4426933589693,-175.9908495876904,0.0,1.0,2.0,179.9908495876904,181.53602703216995,False,False,True,False,False,False
118,895.5240385458633,-191.8553474626584,0.0,1.0,2.0,195.8553474626584,197.40052490713796,False,False,True,False,False,False
119,931.124300798474,-144.6229826449569,0.0,1.0,2.0,148.6229826449569,150.16816008943644,False,False,True,False,False,False
120,730.7926405309438,-129.2830772320664,0.0,1.0,2.0,133.2830772320664,134.82825467654598,False,False,True,False,False,False
121,702.9306263930278,-136.95324727526727,0.0,1.0,2.0,140.95324727526727,142.49842471974682,False,False,True,False,False,False
122,915.3161976998292,-136.42515434270845,0.0,1.0,2.0,140.42515434270845,141.97033178718803,False,False,True,False,False,False
123,787.8476959388848,-169.45425373143405,0.0,1.0,2.0,173.45425373143405,174.99943117591363,False,False,True,False,False,False
124,821.6200622175472,-205.9001787463915,0.0,1.0,2.0,209.9001787463915,211.44535619087108,False,False,True,False,False,False
125,756.0425553103278,-173.5010364415072,0.0,1.0,2.0,177.5010364415072,179.0462138859868,False,False,True,False,False,False
126,802.9535540701867,-138.37115779203148,0.0,1.0,2.0,142.37115779203148,143.91633523651103,False,False,True,False,False,False
127,802.8488713514064,-189.0514480506739,0.0,1.0,2.0,193.0514480506739,194.5966254951535,False,False,True,False,False,False
128,850.1338158956484,-129.81036075764374,0.0,1.0,2.0,133.81036075764374,135.3555382021233,False,False,True,False,False,False
129,823.0558574176555,-181.5469158459611,0.0,1.0,2.0,185.5469158459611,187.0920932904407,False,False,True,False,False,False
130,764.0292819984903,-207.62983273485258,0.0,1.0,2.0,211.62983273485258,213.17501017933216,False,False,True,False,False,False
131,840.1262436155719,-156.1856667374946,0.0,1.0,2.0,160.1856667374946,161.73084418197416,False,False,True,False,False,False
132,684.841614076719,-168.51682390675944,0.0,1.0,2.0,172.51682390675944,174.06200135123902,False,False,True,False,False,False
133,713.3611774068413,-108.15377841307802,0.0,1.0,2.0,112.15377841307802,113.69895585755759,False,False,True,False,False,False
134,800.9062260389327,-99.87873785670614,0.0,1.0,2.0,103.87873785670614,105.4239153011857,False,False,True,False,False,False
135,808.8216367032423,-123.62781359226969,0.0,1.0,2.0,127.62781359226969,129.17299103674927,False,False,True,False,False,False
136,766.1610226244061,-158.76162998956997,0.0,1.0,2.0,162.76162998956997,164.30680743404955,False,False,True,False,False,False
137,820.9347435602275,-126.83685795073825,0.0,1.0,2.0,130.83685795073825,132.38203539521783,False,False,True,False,False,False
138,801.4509006651963,-164.7305474628096,0.0,1.0,2.0,168.7305474628096,170.27572490728917,False,False,True,False,False,False
139,805.8196796566704,-144.88753988563906,0.0,1.0,2.0,148.88753988563906,150.43271733011863,False,False,True,False,False,False
140,735.7511693712847,-153.57960047301185,0.0,1.0,2.0,157.57960047301185,159.12477791749143,False,False,True,False,False,False
141,765.7594029023838,-172.9634562383769,0.0,1.0,2.0,176.9634562383769,178.50863368285647,False,False,True,False,False,False
142,762.9436581417417,-154.4865713710738,0.0,1.0,2.0,158.4865713710738,160.03174881555339,False,False,True,False,False,False
143,841.1046345255079,-182.08734365054704,0.0,1.0,2.0,186.08734365054704,187.63252109502662,False,False,True,False,False,False
144,764.519395434765,-148.94831092012794,0.0,1.0,2.0,152.94831092012794,154.49348836460751,False,False,True,False,False,False
145,810.0620979617449,-193.3878654997601,0.0,1.0,2.0,197.3878654997601,198.93304294423965,False,False,True,False,False,False
146,831.9085195428524,-161.65491781692197,0.0,1.0,2.0,165.65491781692197,167.20009526140154,False,False,True,False,False,False
147,728.1694470174257,-155.0721231579046,0.0,1.0,2.0,159.0721231579046,160.61730060238415,False,False,True,False,False,False
148,720.4096687147495,-165.11665121175798,0.0,1.0,2.0,169.11665121175798,170.66182865623756,False,False,True,False,False,False
149,962.2149843205023,-142.37252865970666,0.0,1.0,2.0,146.37252865970666,147.91770610418624,False,False,True,False,False,False
150,732.4318147520713,-170.271026099211,0.0,1.0,2.0,174.271026099211,175.8162035436906,False,False,True,False,False,False
151,791.2608789315998,-223.17979808267046,0.0,1.0,2.0,227.17979808267046,228.72497552715004,False,False,True,False,False,False
152,808.6657509924534,-169.4467298500676,0.0,1.0,2.0,173.4467298500676,174.9919072945472,False,False,True,False,False,False
153,869.0805040419734,-156.1447133502762,0.0,1.0,2.0,160.1447133502762,161.68989079475577,False,False,True,False,False,False
154,799.9064380673867,-147.2476877586705,0.0,1.0,2.0,151.2476877586705,152.7928652031501,False,False,True,False,False,False
