k,n_eff,delta_chi2,amp,phase
16.12,12.263847021516355,1.092814944416375,0.5101950922738159,-0.8509278450309036
16.14,12.279062712610049,1.1121563716026799,0.5140164009462868,-0.853992133321763
16.16,12.294278403703741,1.1263626377569835,0.5166170146585147,-0.857795494211382
16.18,12.309494094797433,1.1353329556304743,0.5180088334923166,-0.8623001121363371
16.200000000000003,12.324709785891129,1.1390190930461586,0.5182071169684673,-0.8674728481065378
16.22,12.339925476984817,1.1374240129485997,0.5172299146805115,-0.8732845787652715
16.240000000000002,12.355141168078513,1.1306000809528314,0.5150975216528226,-0.8797097646463496
16.259999999999998,12.370356859172203,1.118646923861661,0.5118319687107372,-0.8867262287804343
16.28,12.385572550265898,1.1017090191583065,0.5074565579863851,-0.8943151349289337
16.3,12.40078824135959,1.0799730890246906,0.5019954531388544,-0.9024611619765467
16.32,12.416003932453282,1.0536653635066386,0.4954733330015053,-0.911152878077015
16.34,12.431219623546975,1.023048766609861,0.48791511624861333,-0.9203833257293946
16.36,12.446435314640667,0.9884200670084056,0.4793457633741164,-0.9301508378752952
16.380000000000003,12.461651005734362,0.9501070223125225,0.469790160889846,-0.9404601163559962
16.4,12.476866696828052,0.9084655331289468,0.45927309129357563,-0.9513236189766031
16.42,12.492082387921748,0.8638768110597539,0.4478192911714171,-0.9627633218234007
16.439999999999998,12.507298079015436,0.8167445538865081,0.4354535989671452,-0.9748129519909607
16.46,12.522513770109132,0.767492111957381,0.4222011937106717,-0.9875208263616132
16.48,12.537729461202824,0.7165596226481625,0.4080879266736644,-1.0009534903727653
16.5,12.552945152296518,0.6644010849779534,0.39314074997139725,-1.0152004358057274
16.52,12.56816084339021,0.6114813442404738,0.3773882502439972,-1.0303803026860479
16.54,12.583376534483902,0.5582729569186426,0.36086130279896905,-1.0466491600933405
16.560000000000002,12.598592225577598,0.5052529091519204,0.343593873725389,-1.0642117510992948
16.58,12.613807916671286,0.4528991674810072,0.32562401743714303,-1.0833370398401596
16.6,12.629023607764982,0.4016870482507784,0.30699514997143795,-1.1043801183170703
