k_l,amp
97.8723112651057,0.2960058121764911
99.33309203025652,0.27523188420846606
100.79387279540737,0.225206316575122
102.2546535605582,0.21439276544794228
103.71543432570903,0.25352087539042595
105.17621509085986,0.24163393456790988
106.63699585601069,0.24322980028037644
108.09777662116151,0.2642192223628173
109.55855738631234,0.25729919706576976
111.01933815146319,0.2266617689519043
112.48011891661402,0.22525776428298017
113.94089968176485,0.26533543884892025
115.40168044691568,0.2592879541349439
116.8624612120665,0.21355218497872883
118.32324197721734,0.1698821194431828
119.78402274236817,0.14226594716425686
121.24480350751901,0.1445116726293436
122.70558427266984,0.13987933335481084
124.16636503782067,0.12186852440817458
125.6271458029715,0.11546024343681997
127.08792656812233,0.11767415660563023
128.54870733327317,0.1004837678722545
130.009488098424,0.08429961936273138
131.47026886357483,0.08514652945871631
132.93104962872565,0.1322968729529526
134.3918303938765,0.12716855628777576
135.85261115902733,0.0806096411352933
137.31339192417815,0.099574388907424
138.774172689329,0.07102155262691184
140.23495345447978,0.03899818791065492
141.69573421963062,0.049078682102973344
143.15651498478147,0.05850781809877078
144.61729574993228,0.04863575446608442
146.07807651508313,0.04002045000413327
147.53885728023394,0.018644730879036984
148.99963804538478,0.037272629468792756
150.4604188105356,0.05019472291178903
151.92119957568644,0.03448460544214383
153.3819803408373,0.04496039078367335
154.8427611059881,0.07365063981389425
156.30354187113895,0.09650644144095091
157.76432263628976,0.0819392440433585
159.2251034014406,0.061565803999721065
160.68588416659142,0.05175937887062539
162.14666493174227,0.03332906760174118
163.6074456968931,0.035729135548606045
165.06822646204392,0.062289032257669845
166.52900722719477,0.0601916940312821
167.98978799234558,0.05986121768822305
169.45056875749643,0.0739531235199738
170.91134952264724,0.07380095975018462
172.3721302877981,0.07014955473350326
173.83291105294893,0.05327162884558104
175.29369181809975,0.044901291796575094
176.7544725832506,0.014500903328256896
178.2152533484014,0.0437873765890541
179.67603411355225,0.058886139779644055
181.13681487870306,0.056179237309463406
182.5975956438539,0.08365223685668333
184.05837640900475,0.07690107405908876
185.51915717415557,0.050452622840473284
186.9799379393064,0.05290690068177592
188.44071870445723,0.0661088053520015
189.90149946960807,0.06617885662283059
191.3622802347589,0.07397086864017471
192.82306099990973,0.07918495734413883
194.28384176506057,0.07543050350832103
195.7446225302114,0.06592892965712377
197.20540329536223,0.05503672712173006
198.66618406051305,0.055812751885653836
200.1269648256639,0.05954132356070999
201.58774559081473,0.0633673051646678
203.04852635596555,0.0664789132626092
204.5093071211164,0.06421627165295556
205.9700878862672,0.06857283920561706
207.43086865141805,0.07744417754881347
208.89164941656887,0.07706758835580227
210.3524301817197,0.07890285720239781
211.81321094687056,0.08063578446879682
213.27399171202137,0.06630764473877435
214.7347724771722,0.05492400934547944
216.19555324232303,0.053795522388968973
217.65633400747387,0.060283185262578545
219.1171147726247,0.06523878065621047
220.57789553777553,0.0722581129619561
222.03867630292638,0.07490504695668307
223.4994570680772,0.0682613347447466
224.96023783322804,0.06486546628070182
226.42101859837885,0.05035161062140595
227.8817993635297,0.03919634666501233
229.3425801286805,0.05312664491197424
230.80336089383135,0.07300009507077998
232.2641416589822,0.07083177238458853
233.724922424133,0.058951816248964665
235.18570318928386,0.06004583456645566
236.64648395443467,0.06588673815081723
238.10726471958552,0.06215694367716548
239.56804548473633,0.05902860900171932
241.02882624988717,0.0676826235903827
242.48960701503802,0.06452610539832554
243.95038778018883,0.049182983540899
245.41116854533968,0.03455798752023907
246.8719493104905,0.029149730816923323
248.33273007564134,0.036662622068570905
249.79351084079215,0.04703616340013156
251.254291605943,0.05367093966395234
252.71507237109384,0.05654624333791192
254.17585313624465,0.06296568732822036
255.6366339013955,0.0659546933134354
257.09741466654634,0.062270131948767495
258.55819543169713,0.06299399690628128
260.018976196848,0.06059099528782613
261.4797569619988,0.045061516327590416
262.94053772714966,0.034171302166025916
264.4013184923005,0.025321612841333482
265.8620992574513,0.01607665909360701
267.32288002260213,0.019789939442594377
268.783660787753,0.03295638159063156
270.2444415529038,0.041459998622665445
271.70522231805467,0.046396335106757336
273.16600308320545,0.04782022175604002
274.6267838483563,0.0439641550089474
276.08756461350714,0.03731722188721262
277.548345378658,0.036853662156999395
279.00912614380877,0.0350753400695706
280.46990690895956,0.02357715144140004
281.9306876741104,0.020481351029390096
283.39146843926125,0.021834567396341768
284.8522492044121,0.011683181264328666
286.31302996956293,0.004396074677833239
287.7738107347137,0.004552644577609932
289.23459149986456,0.008609957951281166
290.6953722650154,0.0218332404304869
292.15615303016625,0.022569773385477165
293.6169337953171,0.016743461871503197
295.0777145604679,0.020213612610871075
296.5384953256187,0.02553028734119628
297.99927609076957,0.023782155280415423
299.4600568559204,0.019814980292361235
300.9208376210712,0.025085511952972504
302.38161838622204,0.019956138813604234
303.8423991513729,0.010635505929392216
305.30317991652373,0.011253789662174296
306.7639606816746,0.0067413518029038715
308.22474144682536,0.0042986544099695425
309.6855222119762,0.005831885906422505
311.14630297712705,0.0035429809118596714
312.6070837422779,0.006090823586827859
314.06786450742874,0.00712556039482094
