region,ell,q2_center,counts,active,in_charm_window,fit_model,fit_continuum,fit_charm_jpsi,fit_charm_psi2s,subtract_component,corrected
signal_B_signal_Kst,-1.000919505861925,0.3675413293405313,10.0,True,False,1e-09,-9079.120682214438,107.10094096023371,58.50992553122303,165.61086649145676,-155.61086649145676
signal_B_signal_Kst,-0.9807386440459231,0.37503397990159476,10.0,True,False,1e-09,-8942.089985789262,107.2750814763203,58.57627181785554,165.85135329417585,-155.85135329417585
signal_B_signal_Kst,-0.9605577822299213,0.38267937467929086,12.0,True,False,1e-09,-8800.861707381095,107.45321008617574,58.64408700164734,166.09729708782308,-154.09729708782308
signal_B_signal_Kst,-0.9403769204139194,0.3904806274976961,9.0,True,False,1e-09,-8655.631840670045,107.63542765003633,58.713406100982475,166.34883375101882,-157.34883375101882
signal_B_signal_Kst,-0.9201960585979175,0.39844091565890666,11.0,True,False,1e-09,-8506.596379336206,107.82183799123383,58.78426507548375,166.6061030667176,-155.6061030667176
signal_B_signal_Kst,-0.9000151967819157,0.4065634812370933,13.0,True,False,1e-09,-8353.951317059673,108.0125480008893,58.856700855789526,166.86924885667884,-153.86924885667884
signal_B_signal_Kst,-0.8798343349659138,0.4148516323989363,12.0,True,False,1e-09,-8197.892647520544,108.20766774705288,58.9307513744566,167.1384191215095,-155.1384191215095
signal_B_signal_Kst,-0.8596534731499119,0.423308744750979,17.0,True,False,1e-09,-8038.61636439892,108.4073105885115,59.00645559804007,167.41376618655158,-150.41376618655158
signal_B_signal_Kst,-0.83947261133391,0.4319382627144483,12.0,True,False,1e-09,-7876.3184613749,108.61159329349816,59.08385356040201,167.69544685390017,-155.69544685390017
signal_B_signal_Kst,-0.8192917495179082,0.44074370092810206,7.0,True,False,1e-09,-7711.194932128581,108.82063616355052,59.16298639730534,167.98362256085585,-160.98362256085585
signal_B_signal_Kst,-0.7991108877019063,0.44972864567967447,21.0,True,False,1e-09,-7543.441770340059,109.03456316278026,59.24389638235013,168.27845954513037,-147.27845954513037
signal_B_signal_Kst,-0.7789300258859044,0.4588967563665031,18.0,True,False,1e-09,-7373.254969689435,109.25350205283026,59.326626964314904,168.58012901714517,-150.58012901714517
signal_B_signal_Kst,-0.7587491640699026,0.46825176698593207,13.0,True,False,1e-09,-7200.830523856807,109.4775845338127,59.411222805966254,168.88880733977896,-155.88880733977896
signal_B_signal_Kst,-0.7385683022539007,0.47779748765609786,15.0,True,False,1e-09,-7026.364426522273,109.70694639153858,59.497729824405695,169.2046762159443,-154.2046762159443
