region,k1,k2,k3,n1,n2,n3,deltaD1,deltaD2,deltaD3,Q_low,Q_high,Q_mean,koide_error,target_label_best,target_Q_best,target_error_best,integer_error_10_15_20,score
B_low_sideband_Kst_signal,11.4,12.9,23.76,8.672943923404866,9.814120755431823,18.076241019306984,327.50612059982177,321.3318623102191,319.5968850665208,0.883720930232558,0.9209302325581394,0.9023255813953488,0.33430901015673925,koide_2over3,0.6666666666666666,0.33430901015673925,5.688169300000494,29.94606519069657
B_low_sideband_Kst_signal,12.9,13.719999999999999,23.76,9.814120755431823,10.437964090273224,18.076241019306984,321.3318623102191,332.9729636783627,319.5968850665208,0.9402332361516036,0.8658892128279884,0.903061224489796,0.33842028727420703,koide_2over3,0.6666666666666666,0.33842028727420703,4.954550570031038,30.342042192551034
B_low_sideband_Kst_signal,13.719999999999999,14.52,25.0,10.437964090273224,11.046591734020936,19.019613867115932,332.9729636783627,387.56944178420827,399.3611829218071,0.9449035812672175,0.8608815426997244,0.9028925619834709,0.33931578023865944,koide_2over3,0.6666666666666666,0.33931578023865944,4.096633548589844,35.52863014259479
B_low_sideband_Kst_signal,6.12,14.52,26.26,4.656001474669981,11.046591734020936,19.97820240601858,335.909708786824,387.56944178420827,342.87446764660035,0.42148760330578516,0.9042699724517905,0.6628787878787878,0.34142071412047953,koide_2over3,0.6666666666666666,0.34142071412047953,6.647422981226964,31.744158837918448
B_low_sideband_Kst_signal,6.12,19.14,25.0,4.656001474669981,14.56141637666396,19.019613867115932,335.909708786824,393.9859458806013,399.3611829218071,0.3197492163009405,0.6530825496342737,0.48641588296760707,0.34718330259937014,half,0.5,0.23648385151349133,5.450856153205601,34.088827658466755
B_low_sideband_Kst_signal,6.12,19.14,26.26,4.656001474669981,14.56141637666396,19.97820240601858,335.909708786824,393.9859458806013,342.87446764660035,0.3197492163009405,0.6859979101358412,0.5028735632183908,0.3474556293144789,half,0.5,0.2590088176086397,5.362009974672871,32.42890208739819
B_low_sideband_Kst_signal,6.12,19.14,23.76,4.656001474669981,14.56141637666396,18.076241019306984,335.909708786824,393.9859458806013,319.5968850665208,0.3197492163009405,0.6206896551724138,0.4702194357366771,0.34995085791322,folded_4over9,0.4444444444444444,0.21589644329239616,5.696623951884574,31.310580739745237
B_low_sideband_Kst_signal,6.12,17.880000000000003,19.14,4.656001474669981,13.602827837761318,14.56141637666396,335.909708786824,484.0006856861314,393.9859458806013,0.3422818791946309,0.535234899328859,0.43875838926174493,0.3499997140124794,folded_4over9,0.4444444444444444,0.1366751493013318,7.751683824672101,34.61970375131014
B_low_sideband_Kst_signal,6.12,12.9,25.0,4.656001474669981,9.814120755431823,19.019613867115932,335.909708786824,321.3318623102191,399.3611829218071,0.4744186046511628,0.9689922480620153,0.7217054263565891,0.3582737424299367,koide_2over3,0.6666666666666666,0.3582737424299367,7.5108468728582,29.760384712753304
B_low_sideband_Kst_signal,6.12,13.719999999999999,26.26,4.656001474669981,10.437964090273224,19.97820240601858,335.909708786824,332.9729636783627,342.87446764660035,0.44606413994169103,0.9569970845481051,0.7015306122448981,0.3646330022703022,koide_2over3,0.6666666666666666,0.3646330022703022,7.02644768111664,28.406331462492915
B_low_sideband_Kst_signal,13.719999999999999,14.52,26.26,10.437964090273224,11.046591734020936,19.97820240601858,332.9729636783627,387.56944178420827,342.87446764660035,0.9449035812672175,0.9042699724517905,0.924586776859504,0.36588401381647345,koide_2over3,0.6666666666666666,0.36588401381647345,3.977653151920592,31.81545189461595
B_low_sideband_Kst_signal,12.9,13.719999999999999,25.0,9.814120755431823,10.437964090273224,19.019613867115932,321.3318623102191,332.9729636783627,399.3611829218071,0.9402332361516036,0.9110787172011661,0.9256559766763848,0.3668459055056163,koide_2over3,0.6666666666666666,0.3668459055056163,4.669890759402111,30.97572657218074
B_low_sideband_Kst_signal,10.02,12.9,26.26,7.623061237940067,9.814120755431823,19.97820240601858,397.75820667236167,321.3318623102191,342.87446764660035,0.7767441860465116,1.0178294573643412,0.8972868217054264,0.36801136645951427,koide_2over3,0.6666666666666666,0.36801136645951427,5.704704773511895,30.44677125039565
B_low_sideband_Kst_signal,11.4,12.9,25.0,8.672943923404866,9.814120755431823,19.019613867115932,327.50612059982177,321.3318623102191,399.3611829218071,0.883720930232558,0.9689922480620153,0.9263565891472867,0.37217376384985423,koide_2over3,0.6666666666666666,0.37217376384985423,5.442019693020455,29.953214255908296
B_low_sideband_Kst_signal,6.12,11.4,23.76,4.656001474669981,8.672943923404866,18.076241019306984,335.909708786824,327.50612059982177,319.5968850665208,0.536842105263158,1.0421052631578949,0.7894736842105264,0.39725125107281495,koide_2over3,0.6666666666666666,0.39725125107281495,8.502400099436974,25.095648589190372
B_low_sideband_Kst_signal,12.9,13.719999999999999,26.26,9.814120755431823,10.437964090273224,19.97820240601858,321.3318623102191,332.9729636783627,342.87446764660035,0.9402332361516036,0.9569970845481051,0.9486151603498543,0.39891154343659635,koide_2over3,0.6666666666666666,0.39891154343659635,4.565873177202935,27.43817480222338
B_low_sideband_Kst_signal,6.12,12.9,26.26,4.656001474669981,9.814120755431823,19.97820240601858,335.909708786824,321.3318623102191,342.87446764660035,0.4744186046511628,1.0178294573643412,0.7461240310077519,0.4003431314751082,koide_2over3,0.6666666666666666,0.4003431314751082,7.446619294221762,25.902562141186287
B_low_sideband_Kst_signal,11.4,12.9,26.26,8.672943923404866,9.814120755431823,19.97820240601858,327.50612059982177,321.3318623102191,342.87446764660035,0.883720930232558,1.0178294573643412,0.9507751937984497,0.4128290916380654,koide_2over3,0.6666666666666666,0.4128290916380654,5.353026854479105,26.113534603791113
B_low_sideband_Kst_signal,6.12,23.76,26.26,4.656001474669981,18.076241019306984,19.97820240601858,335.909708786824,319.5968850665208,342.87446764660035,0.2575757575757576,0.5526094276094277,0.40509259259259267,0.4246933313370797,folded_4over9,0.4444444444444444,0.21591565416872494,6.166202573926652,25.290418930295235
B_low_sideband_Kst_signal,10.02,11.4,23.76,7.623061237940067,8.672943923404866,18.076241019306984,397.75820667236167,327.50612059982177,319.5968850665208,0.8789473684210527,1.0421052631578949,0.9605263157894738,0.4312971551872768,koide_2over3,0.6666666666666666,0.4312971551872768,7.027255872014299,25.724264990128823
B_low_sideband_Kst_signal,6.12,23.76,25.0,4.656001474669981,18.076241019306984,19.019613867115932,335.909708786824,319.5968850665208,399.3611829218071,0.2575757575757576,0.5260942760942761,0.39183501683501687,0.4325690336721563,folded_4over9,0.4444444444444444,0.20392793124158634,6.243615620547734,26.28928458348653
B_low_sideband_Kst_signal,6.12,25.0,26.26,4.656001474669981,19.019613867115932,19.97820240601858,335.909708786824,399.3611829218071,342.87446764660035,0.24480000000000005,0.5252000000000001,0.38500000000000006,0.4449542698100808,folded_4over9,0.4444444444444444,0.21535868673126998,6.687009123258581,26.050447339635063
B_low_sideband_Kst_signal,6.12,11.4,25.0,4.656001474669981,8.672943923404866,19.019613867115932,335.909708786824,327.50612059982177,399.3611829218071,0.536842105263158,1.0964912280701753,0.8166666666666667,0.4490028622729837,koide_2over3,0.6666666666666666,0.4490028622729837,8.339731159015871,24.75603749117791
